# x + y
2*~(x|~y) - (x^y) + 2*x, x + y
-~(x|y) + ~(x^y) + (x|y), x + y
(x&~y) + (x&y) + y, x + y
(x&~y) - ~(x|~y) + 2*y, x + y
-~y - ~x - 2, x + y
-2*(x&~y) + (x^y) + 2*x, x + y
-2*~(x|y) - 2*~(x|~y) + (x^y) + 2*~(x&~y), x + y
-2*~(x|y) + (x&~y) + ~(x|~y) + 2*~(x^y), x + y
-(x&~y) + ~(x|~y) + 2*x, x + y
-~y + x - 1, x + y
-(x^y) + 2*(x|y), x + y
-(x&~y) + 15028023922214142641*~(x|~y) + 15028023922214142642*x + 3418720151495408976*(x|y), x + y
~y - ~x + 2*y, x + y
~(x|~y) + (x&y) + x, x + y
2*(x&~y) - ~y + ~(x^y) + y, x + y
(x&y) + (x|y), x + y
(x&~y) - ~y + (x&y) - 1, x + y
(x^y) - 2*~(x&y) - 2, x + y
-2*~(x|y) + ~(x^y) - 1, x + y
-~(x|y) + (x&y) - 1, x + y
-~(x|y) + (x|~y) + y, x + y
10075623640543552062*~(x|~y) + 13408932253437775585*(x^y) + 5037811820271776032*x + 13408932253437775586*y, x + y
~(x|~y) - ~x + ~(x^y) + (x|y), x + y
748394010745478451*(x^y) + 748394010745478452*(x&y) + 17698350062964073166*(x|y), x + y
-~y - 3*~x + 2*~(x&y) + 2*~(x&~y), x + y
-(x&~y) + ~(x|~y) - 2*~x - 2, x + y
~(x^y) + 2*(x|y) + 1, x + y
(x^y) + 2*(x&y), x + y
-2*~(x&y) - 4*~(x^y) + 3*(x|~y) + 3*~(x&~y), x + y
13798138016847843315*~(x|y) - (x^y) + 13798138016847843317*(x|y) + 13798138016847843315, x + y
-2*(x&~y) + (x|~y) - ~(x&~y) + 2*(x|y), x + y
-2*~(x|~y) + (x^y) + 2*y, x + y
-3*~(x|y) + 2*~x - ~(x&y) + 2*(x|~y), x + y
-(x&~y) + x + (x|y), x + y
(x&~y) + ~(x|~y) - 2*~(x&y) - 2, x + y
2*x - (x|~y) + ~(x&~y), x + y
-2*~x - (x^y) - 2*(x|~y) - 4, x + y
17462789382887100787*~y + x + 17462789382887100788*y + 17462789382887100787, x + y
-~x + y - 1, x + y
2*~(x|~y) - 2*~x + ~(x^y) - 1, x + y
