# x + y
2*(z^(x|(~y|z))) - (~(x&y)&(x^(y^z))) - 3*~(x|(y^z)) - (z^(x&(~y|z))) - 3*(y^~(x&(y|z))) + ~(x&(y^z)) + 3*(~(x^y)|(x^z)) + (z|~(x|~y)), x + y
-3*~(x|(y|z)) + ~(x|(~y|z)) - 3*(~z&(x^y)) + 2*~z + (y^~(~x&(~y&z))) + (y&~(x^z)) + ((x|y)&~(y^z)), x + y
9270375879611711517*~(x|(y&z)) + 13905563819417567277*((x&y)^~(x^(~y|z))) + 13811556133903695857*(z^~(~x&(~y|z))) + 13811556133903695858*(y^~(x|(y^z))) + 94007685513871420*(y^(~x&(y^z))) + 9270375879611711518*(z^~(x|(y&z))) + 4541180254291984339*(~x|(y|z)) + 9176368194097840099*(x|(y|z)), x + y
(z^(x|(y|z))) - (z^~(~x|(~y&z))) - 2*~(x^y) + (x&(y|z)) + (x|(~y&z)) + 2*(y^~(x|(y&z))), x + y
-3*(x&~z) + 2*(~(x|y)|(y^z)) - ((x&~y)|(y^z)) + (z^(x&(~y|z))) + 4*~(~x|(~y&z)) - 2*(y^~(x&(~y|z))), x + y
6148914691236517205*((x&y)^~(x^(y&z))) + 6148914691236517205*(z^(x|(~y&z))) + 12297829382473034410*(y^~(x&(y|z))) + 12297829382473034412*((x&y)|~(y|~z)) + 6148914691236517207*(y|~z) + 12297829382473034410*~(x&~z) + 12297829382473034411*(x|(y|z)), x + y
-(x&~z) - ~(y|~z) - 3*~(x|(~y&z)) - 2*((y&~z)^(x|(y^z))) + (y^~(~x|(y&z))) - 3, x + y
-9*(~y&(x^z)) - 2*((x|~y)&(y^z)) + 3*~(y&z) - 10*~(x|(y^z)) - 6*(y&~(x^z)) - 3*(y^(~x&(y|z))) + 7*(~(x|y)|~(y^z)) + 4*(y|~(x|~z)), x + y
-6*~(~x|(y&z)) + 2*(y^~(~x|(y^z))) - 2*(~(x&y)&~(x^(y^z))) + 3*(x^y) - 2*(z&~(x&y)) - 6*(~(x|y)|(x^(y^z))) + 2*(~y|~(x^z)) + 6*(x|~y), x + y
-(~x|(~y&z)) + (z^(~x&(y|z))) - ~(x^z) + (y|~(x^z)) - 1, x + y
1695358590441206924*((x&z)^(y|z)) + 1695358590441206924*~(~x&(~y|z)) - 2*(z^~(x|(~y&z))) + 3*((x&y)|(y^z)) + 1695358590441206926*(~(x|~y)|~(y^z)) + 16751385483268344691*(z^~(~x|(y&z))) + 3390717180882413850*~(~x&(y^z)) + 13360668302385930842*~(~x&(~y&z)), x + y
-(~(x&~y)&~(x^(y^z))) - (y^~(~x&(y|z))) - (z^~(x&(y|z))) + 3*~(~x&(~y&z)), x + y
3*(~z&~(x^y)) - 9*(z^(~x|(y&z))) + 11*(y^(x|z)) + 14*~(x|(y^z)) - 10*~(x&z) - 3*(z&~(x&y)) - 7*(y^(~x|(y^z))) + 9*(~(x^y)|~(x^z)), x + y
-2*(~z|(x^y)) - (z^~(x|(~y&z))) - 2*~(y^z) + (~(x|y)|~(y^z)) + 4*~(~x&(~y&z)), x + y
-2*(z^~(~x&(~y&z))) - 2*(y^(x&(y|z))) + (x^y) - 2*~(y&~z) - 4, x + y
5*(~(x&~y)&~(x^(y^z))) - (x^(~y|z)) + (y^~(~x&(~y|z))) - 3*~(x^(y^z)) - (z^~(x&y)) + 4*(x|(~y&z)) + 2*(y^(x&(y^z))) - 3*(x|z), x + y
4*(~z&~(x^y)) - 6*((y&z)^~(x&(y^z))) - 2*((x|~y)&(y^z)) - 5*(z&(x^y)) - (z&~(x&y)) + 7*(y^(x|(~y&z))) + 2*(y^(~x|(y^z))), x + y
8459515015369734029*~(x|(y|z)) + 9987229058339817587*(y^(x|(y&z))) + 1527714042970083557*(~(x|y)|(y^z)) + 8459515015369734030*(~z|(x^y)) + 1527714042970083559*(x&y) + 6931800972399650472*((x&y)|(y^z)) + 9987229058339817587*(z|~(x|~y)), x + y
-4*(y&~z) - 2*~(~x|(y&z)) + ((x^y)&(x^z)) - 6*(~(x&y)&~(y^z)) + 3*(z^(x|~y)) + 3*(~z|(x^y)) + 2*((y&~z)|~(~x|(~y&z))), x + y
-2*~(x|~y) + 6148914691236517204*(z^~(~x&(y&z))) + 3*(x^y) + 12297829382473034414*(y^~(x|~z)) + 12297829382473034408*((x&y)|(y^z)) + 6148914691236517206*(~(x^y)|(x^z)) + 2*(y|~(x^z)) + 6148914691236517204*(~x|(~y|z)), x + y
6148914691236517204*(~(x&~y)&(y^z)) + 12297829382473034412*~(x&z) + 12297829382473034410*(~(x&y)&~(x^(y^z))) + 6148914691236517206*(y^(x&(y|z))) + 2*(x&y) + 12297829382473034410*(y^(~x&(~y|z))) + ((x&y)|(y^z)) + 6148914691236517205*(z^~(~x|(y&z))), x + y
-(z^~(~x&(y|z))) + ((x&~y)|~(x^(y^z))) + ((x&y)|(x^(y^z))) + (y&(x|z)), x + y
-2*(~(x&~y)&(y^z)) + (~(x|~y)|~(x^(y^z))) + 2*(y^~(x|~z)) - ~(x^z) + ~(~x&(~y|z)), x + y
10743346587042281737*(z^(x|y)) + 15406794973334539753*(~(x&y)&(y^z)) - 3*~(x|(y^z)) + 15406794973334539754*(z^(x|(~y&z))) + 10743346587042281740*(y^(x&(y|z))) + 10743346587042281740*(z^~(~x|(~y&z))) - (z^(x&~y)) + 3*~(x&(~y&z)), x + y
2*(~y&(x^z)) - 3*((x|~y)&(y^z)) + ~(x&(y&z)) - 2*((x|~y)&~(y^z)) + (y^~(x|(~y&z))) + 3*(x&(y|z)), x + y
-2*~(x|y) - ((x^y)&~(x^z)) + ((x&y)^~(x^(~y|z))) + ~(x^(~y|z)) - ((x&z)^(x^(y&z))) + 2*(y^~(x|(y&z))), x + y
3037584373752061680*(y^(~x|(y|z))) + 3037584373752061681*(y^~(~x|(y^z))) + 6075168747504123361*((x|~y)&(x^(y^z))) + 15409159699957489937*(x|(~y&z)) + 15409159699957489936*~(x&(y^z)) + 3037584373752061682*(z&(x|y)) + 15409159699957489934*(z|(x&~y)), x + y
-2*((x&y)^~(x^(~y|z))) + 3*(~x&(~y|z)) - (y^~(x&(y|z))) + ((x&z)|(y&~z)) + 4*~(~x&(~y|z)) - 2*~(x&~z), x + y
12657554679546334905*~(~x|(~y|z)) + 3859459596108811140*(z^(x&(y|z))) + 16517014275655146046*~(x^(y^z)) + 3859459596108811142*(z^~(x&(~y|z))) + 16517014275655146043*(z^~(x|(~y&z))) + (~y|~(x^z)) + ((x&y)|~(y|~z)) + 16517014275655146047*((y&z)|(~x&(y|z))), x + y
2*~(y|z) - 4*((x&y)^~(x^(y&z))) - 2*(x&(y&z)) - ((x|~y)&(x^(y^z))) + 3*(y^~(x|~z)) - (z^~(x|(~y&z))) + 2*(~(x^y)|~(x^z)) + ~(x&~y), x + y
-~(y|z) - (~x&(y|z)) - (y&~(x&~z)) + (y|(x&~z)) + (y|~z) + (z|~(x|~y)), x + y
-(z^(x|(~y|z))) - (y^~(x&~z)) + 2*(z^~(~x&(y|z))) + (~(x^y)&~(x^z)) + 2*(z^~(x|~y)) + 2*(y|~(x|z)) - 3*(~x|(y&z)), x + y
3*(~(x&~y)&(y^z)) - 2*(z^(x|y)) - ((x&z)^~(x^(y&z))) + (z^~(~x&(y&z))) + 2*~(x^(~y&z)) - 2*(~(x|~y)|~(x^(y^z))) + 2*x, x + y
3*(~z&~(x^y)) - (x^(y&z)) + 4*(x&(~y|z)) - 4*((x&z)|~(y|z)) + 2*((x^y)|~(x^z)) + (z|(x&~y)) - (~x|(~y|z)), x + y
12874586270955953794*~(x|y) + 12874586270955953795*(x&(y&z)) + 11144315605507195643*((x&y)|~(y|~z)) + 12874586270955953795*(x|(~y&z)) + 11144315605507195642*(~(x|~y)|~(y^z)) + 12874586270955953796*(y|~z) + 12874586270955953795*(y^(x&(y^z))), x + y
-3*(~x&(~y&z)) - 3*(x&~y) + ((x^y)&~(x^z)) + 4*((x&z)^(x^(~y&z))) - 2*(z^~(~x&(y&z))) - (~y|~(x^z)) + 3*(~(x|~y)|~(y^z)), x + y
6148914691236517207*(z^(~x|(~y|z))) + 6148914691236517206*~(x|(y^z)) - 2*(y^~(~x&(y&z))) + 12297829382473034409*~(x^y) + 12297829382473034412*(y^~(x&(y|z))) + 12297829382473034410*(y|~(x|~z)) + 3*(z|(x&y)), x + y
12297829382473034413*~z + 6148914691236517207*((x^y)&~(x^z)) + 6148914691236517203*(y^~(x&~z)) + 6148914691236517202*(y^~(~x|(~y&z))) + 12297829382473034411*(z^~(~x&(y&z))) - 2*(~(x^y)&~(x^z)) + 12297829382473034413*(z&~(x&~y)) + 6148914691236517207*~(~x&(y^z)), x + y
(~x&(y&z)) - (z^(x&(~y|z))) + (~(x&y)&~(x^(y^z))) + ~(~x|(~y&z)) + (y^~(x|~z)) - (y|~(x^z)) + (x|y), x + y
-4*(x&(~y&z)) + 2*(x&~y) + ~(x|~z) + 3*((x&z)|(y&~z)) + 2*(x|~y) - 3*~(~x&(y&z)) - ((x|y)&~(y^z)) + ((x^y)|~(x^z)), x + y
-2*(z^(x|(~y&z))) - 6*~x + 4*(y^(x&z)) - 3*((x&y)|~(y|~z)) - 4*(y&z) + 6*((x&y)^(x^(~y|z))) + 3*(y|(x^z)), x + y
-(y^~(~x|(~y&z))) + 14911035970066341081*((x&z)|~(y|z)) + ~(~x&(~y|z)) + 3535708103643210534*~(~x&(y&z)) + 3535708103643210534*(y&z) + ((x|y)&~(y^z)) + 14911035970066341082*(y|~(x|~z)) + ~(~x&(~y&z)), x + y
-3*(~x&(~y|z)) + (~x|(y^z)) + 5387293988017319389*(y^~(x|(y^z))) + 13059450085692232226*(y^(~x|(~y&z))) + 13059450085692232227*(~(x|~y)|~(y^z)) + 2*(y^~(x|(y&z))) + 5387293988017319390*~(y&~z), x + y
2*~(x|y) + (y^(x|(y&z))) - (y^(~x|(y|z))) + 2*(x^(y&z)) - (y^~(~x&(y&z))) + 3*(x&(y&z)) - ~(~x|(y^z)), x + y
-2*(y^~(x&(y^z))) + 12297829382473034412*(y^(x|(y&z))) + 6148914691236517207*((x&z)^(x^(~y&z))) + 12297829382473034411*((x&z)^(y|z)) + 6148914691236517206*(y^(x|(y^z))) + 2*(~z|~(x^y)) + 6148914691236517208*(~(x&~y)&~(y^z)) + 12297829382473034408*(~x|(~y|z)), x + y
11068046444225730971*(y^(x|z)) + 14757395258967641292*((x&z)^(x^(~y&z))) + 14757395258967641291*~(x^(y^z)) + 14757395258967641292*(y^~(x&(y&z))) - 2*(~(x|~y)|~(y^z)) + 7378697629483820648*(y|~(x|z)) + 14757395258967641293*(z^(x&~y)) + 3*~(~x&(y^z)), x + y
3*(~(x^y)&~(x^z)) - 2*(z^(~x|(~y&z))) - (x^(~y&z)) - 2*((x&z)|~(y|z)) + 3*~(~x&(~y|z)) + (~(x|y)|~(y^z)), x + y
-(x^z) + (y^~(x|z)) - 5*(~(x|y)|~(y^z)) + 2*~(x&(y^z)) + 3*(~(x^y)|(x^z)) + 2*(z|(x&~y)) - (~x|(y|z)), x + y
10736519802716679386*~(x|z) - (y^~(~x&(~y&z))) + 7710224270992872227*(~x&(y|z)) + ((x&z)^(y|z)) + 7710224270992872229*~(x^z) - ((y&z)|(x&(y|z))) + 2*~(~x&(~y&z)) + 10736519802716679388*(z|~(x|~y)), x + y
~(x|(~y|z)) - (z^(x&(~y|z))) - (z&~(x&y)) - (x|(~y&z)) + 3*(x|z), x + y
12297829382473034411*(y^~(~x&(~y&z))) + 6148914691236517204*(y^(x|(y^z))) + 6148914691236517206*(z^~(~x|(~y&z))) + 6148914691236517205*(y^~(x|(y^z))) + 12297829382473034411*(x^(y^z)) + 12297829382473034411*(z^~(x|~y)) + 6148914691236517206*y + (x|(y&z)), x + y
3*~(y|~z) - 3*(y^(x|z)) + 9*((y&~z)|~(x|(~y&z))) - 2*((x&z)^~(y&~z)) + 7*((x|~y)&(x^(y^z))) + 2*(z^~(x|~y)) - ~(~x&(y&z)) - 6*~(x&~y), x + y
-3*~(x|y) + 3*((x&z)^~(x^(y&z))) - 3*((x|~y)&(y^z)) + (y^(x&(~y|z))) + 2*(y^(~x&(y|z))) - (y|(x&z)) - 2*(z|~(x|~y)) + 3*(z|(x&y)), x + y
-7*~z - 4*(y^~(x&~z)) + (z^(x|~y)) + 3*((y&~z)|~(x|(~y&z))) + 5*~(~x&(y&z)) - 2*~(y^z) - 5*(z&~(x&~y)) + 4*(~(x^y)|(x^z)), x + y
(z^~(x&~y)) - 12*~(x|(y^z)) + 5*((x&y)^(y|~z)) - (z^(x&(~y|z))) + 9*(x^(~y|z)) + 10*(x&(y&z)) - 3*(y^~(x&(y|z))) - 5*(y^~(x|~z)), x + y
5*(y^~(x&(y^z))) - 2*(y^(~x|(~y|z))) - 3*~(y&z) - 4*(z^~(~x&(y|z))) - 2*(~(x^y)&~(x^z)) - (~(x^y)|~(x^z)) - 2*(~(x|~y)|(x^(y^z))) - 7, x + y
(~z&(x^y)) + ~(~x|(y&z)) - ~(x|(y^z)) - ((x&z)|~(y|z)) + (x&(y|z)) + 2*(~(x&~y)&~(y^z)), x + y
4*(~(x&y)&(x^(y^z))) - 6*((x&y)^~(x^(~y|z))) - 2*((y&~z)^(~x|(y^z))) - 10*~(x^(y&z)) + 4*(x|~z) + 5*(~(x^y)|~(x^z)) + 4*(~x|(y&z)) - (~(x^y)|(x^z)), x + y
-4*(~z&(x^y)) + 8053845044461642529*(~x&(~y&z)) + 2*(y^(x&(~y|z))) + 3*~(~x|(y^z)) + 8053845044461642525*(z&(x|y)) + 3*(y^(x&(y^z))) + 10392899029247909087*z, x + y
-4*(x&~z) - ((x&y)^~(x^(~y|z))) + 3*~(x&z) + 5*x - (y^(~x|(y^z))) - (~x|(~y|z)) - (x|(~y|z)), x + y
15151027977585135681*~(x|z) + 3295716096124415934*~(x^(~y&z)) + (x^(y&z)) + 7575513988792567840*(y^(x|(y^z))) + 10871230084916983775*(~(x|y)|(x^(y^z))) + ((x&y)|(x^(y^z))) + 7575513988792567842*(z^~(x|(y&z))), x + y
-2*~(x|y) + (~x&(~y|z)) + (~y|(x^z)) + 2*(y&~(x^z)) + ((x&y)|~(y|~z)) - (z|~(x|~y)), x + y
~(y|z) - 2*(z^(x|(y&z))) - ~(x|(y^z)) - ~(x|~y) - (~x|(~y&z)) - 2*((x&z)|~(y|z)) + (x|(y&z)) - 3, x + y
-4*~(x&(y&z)) - 8*~(~x|(y^z)) - (y^~(x|(y^z))) + 6*(x^(y^z)) + 7*~(~x&(y^z)) - 2*(z|~(x|y)), x + y
(z^~(x&(~y&z))) - 2*((x&z)^~(x^(y&z))) - ((x&~y)|~(x^(y^z))) - (z&~(x&~y)) + (z|(x&~y)) + 2*(~x|(y|z)), x + y
-~(x|(y&z)) + 7395246480706834183*(z^(~x|(y&z))) + 11051497593002717432*((x|y)&(y^z)) + 7395246480706834184*(y^(x|(y|z))) + (~(x|~y)|~(x^(y^z))) + 7395246480706834185*(y&(x|~z)) + 11051497593002717433*(~y|~(x^z)), x + y
(z^(x|(y|z))) - (z^~(~x&(y&z))) + (y^(x&z)) + ~(~x|(~y&z)) + (~(x&~y)&~(y^z)), x + y
12446682929516432279*~(x|y) + 6000061144193119336*(z^(~x|(y&z))) + (~z|~(x^y)) + 12000122288386238671*(y^(~x|(y^z))) + 12446682929516432280*(~y|~(x^z)) + 12446682929516432281*((x&y)|~(y|~z)) + 6000061144193119336*(z^~(~x|(y&z))) + 12446682929516432281*(z^~(x|y)), x + y
2*(~x&(~y&z)) + (y^~(~x&(~y&z))) - (y^~(~x&(y^z))) - (y^~(~x|(y^z))) + ((x&~y)|~(x^(y^z))) + ((x&y)|~(y|z)) + 3*y - 2*(y^~(x|(y&z))), x + y
2*~z - (y^~(x&~z)) - 4*~(x&(y|z)) + ~(x&z) + 2*((x&y)^(y|z)) + 2*(~(x|y)|~(y^z)), x + y
((x&y)^~(x^(y&z))) - ((x&z)^~(x^(y&z))) - (y&~(x&z)) + (y|(x&z)) + (x|y), x + y
8988981284180214813*~(x|(~y|z)) + 9457762789529336806*~(~x|(~y|z)) + (x&(~y|z)) + (y&z) + 9457762789529336804*(y^(x&(y^z))) + 8988981284180214812*((y&z)|(x&(y|z))), x + y
-2*~(~x|(y&z)) + ((x&y)^~(x^(~y|z))) + 2*((x|~y)&(y^z)) + ~(~x|(~y&z)) + 3*((x|y)&~(y^z)) - 2*(z^(x&~y)), x + y
104758501035348282*~(x|(~y|z)) + 3*~(~x|(~y|z)) + 18341985572674203334*(~(x&~y)&(y^z)) + 18341985572674203336*(y&~(x^z)) + 104758501035348281*(y^~(x|~z)) + (z|(x&~y)), x + y
-2*~(x|(y|z)) - (~(x&~y)&(y^z)) + ((x|~y)&~(x^(y^z))) + ~(x&(~y|z)) - ((y&~z)^(~x|(y^z))) + ((x|~y)&~(y^z)) + (y|z), x + y
7476684934030719977*(y^~(x&(~y&z))) + 7476684934030719978*(~(x&y)&(x^(y^z))) + 3493374205648111663*((y&z)^~(x&(y^z))) - (y^(x|(y|z))) + 2*(~x&(y&z)) + 10970059139678831639*~(x|~z) + 7476684934030719974*~x + 2*(~x|(y|z)), x + y
~(~x|(~y|z)) + ((x&y)^~(x^(~y|z))) + (~x&(y&z)) - 2*~(x|~z) + 2*(z^(~x&(~y|z))) - 2*~(x^z) + 2*((y&z)|(~x&(y|z))), x + y
2*(y^(x|(y&z))) - ((x|~y)&(y^z)) - (x^(y|z)) - (z^(~x&(~y|z))) + ~(x^(y|z)) + 2*(y^(~x&(y^z))), x + y
14757395258967641293*(~(x&y)&(x^(y^z))) + 3689348814741910323*((y&z)^~(x&(y^z))) + 14757395258967641293*((y&~z)|~(x|(~y&z))) + 7378697629483820646*(~x&(y|z)) + 3689348814741910323*(z^~(~x|(~y&z))) + 11068046444225730969*(y^(~x&(y|z))) + 14757395258967641294*(x|(y^z)) + 11068046444225730971*(y&(x|z)), x + y
-(y^~(~x|(y^z))) - 2*~(x&z) + 3*(~x|(y^z)) + 3*~(~x|(~y&z)) - 2*((x&y)|~(y|~z)) + ((x&z)^(x^(y&z))) - (z^~(x|y)) + (z|~(x|~y)), x + y
-3*(y^(~x|(y&z))) + 4*((x|y)&(y^z)) + 6*(z^~(~x&(y|z))) - 5*~(x&(y&z)) + 2*(z^~(x|(~y&z))), x + y
6148914691236517204*~(y|z) + 6148914691236517206*(~z&(x^y)) + 12297829382473034411*(y&~z) - (y&~(x&z)) + 12297829382473034410*(y^(~x|(y^z))) + 6148914691236517206*(x|(~y&z)) + ((x&y)|~(y^z)) + (y|~(x^z)), x + y
(x^y) + 2*((x&y)|~(y|z)) + 2*(z|(x&y)) - 2*(x|(~y|z)), x + y
