# x + y
13664254869414482676*((~(x^y)&~t)|(~(x|(y|z))&t)) + 6832127434707241344*((~(y^z)&~t)|((~z&(x^y))&t)) + 15713893099826655077*(((z^~(x|(y&z)))&~t)|(~(~x|(~y|z))&t)) + 10248191152060862011*((~(x^(y&z))&~t)|(((x^y)&~(x^z))&t)) + 3416063717353620669*(((z&(x|y))&~t)|((y^(x|z))&t)) + 10248191152060862013*(((z^~(x|(~y&z)))&~t)|((y^(~x|(~y|z)))&t)) + 1366425486941448269*((~(x&(y&z))&~t)|((x^z)&t)) + 4099276460824344790*(((z&~(x&~y))&~t)|((y^(x&z))&t)) + 6148914691236517211*(((y^(x&(y|z)))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 12297829382473034411*(((y^~(x&~z))&~t)|((x&(y&z))&t)) + 15030680356355930937*((~(x^(~y&z))&~t)|(((x|~y)&~(y^z))&t)) + 17763531330238827490*((((y&z)|(x&(y|z)))&~t)|(((x&z)|(y&~z))&t)) + 15030680356355930947*(((~x|(y&z))&~t)|(((y&~z)^(x|(y^z)))&t)) + 6832127434707241334*((~(~x&(y|z))&~t)|((z^~(x|(~y&z)))&t)) + 3416063717353620677*((((x&y)^(x^(~y|z)))&~t)|((~(x&~y)&~(y^z))&t)) + 3416063717353620670*(((x|z)&~t)|(((x|y)&~(y^z))&t)), x + y
13254327223332048195*(((x^(~y&z))&~t)|(~(x|z)&t)) + 6968769983401386166*(((y^(x&~z))&~t)|((~x&(~y|z))&t)) + 11751259187696455104*(((z^~(~x|(y&z)))&~t)|((x^z)&t)) + 5192416850377503418*((((x|~y)&~(y^z))&~t)|(~(x&(~y|z))&t)) + 12571114479861324064*(((~(x&~y)&~(y^z))&~t)|((z^~(~x&(~y|z)))&t)) + 7378697629483820646*(((y^~(~x&(y|z)))&~t)|((x^(y&z))&t)) + 1366425486941448268*(((~(x^y)|~(x^z))&~t)|(~(~x|(~y&z))&t)) + 1639710584329737923*~((z|~t)&~x) + 8335195470342834431*(((x&(~y&z))&~t)|((x|(~y&z))&t)) + 9291693311201848223*(((x|(~y&z))&~t)|((x|(y^z))&t)) + 4782489204295068938*(((y|(x^z))&~t)|((x|(y^z))&t)) + 6012272142542372379*(((z^(~x&(y|z)))&~t)|((y|~z)&t)) + 9018408213813558568*((((x|y)&~(y^z))&~t)|(~(~x&(~y&z))&t)) + 2869493522577041363*(((z^~(~x|(~y&z)))&~t)|((z|~(x^y))&t)) + 10384833700755006836*(((y^(~x&(~y|z)))&~t)|((~x|(y|z))&t)) + 1639710584329737921*(((~y&(x^z))&~t)|((x|(y|z))&t)), x + y
8881765665119413751*((~(x|(~y&z))&~t)|((x&~x)&t)) + 5465701947765793086*(((x&z)&~t)|(~(x|(~y|z))&t)) + 2049638230412172400*(((y^~(x|(y^z)))&~t)|((y&~z)&t)) + 9564978408590137871*(((~(x|y)|~(x^(y^z)))&~t)|((z^~(x&(~y&z)))&t)) + 3416063717353620668*(((x&y)&~t)|(~(x|(~y&z))&t)) + 17080318586768103347*((~(x^(y&z))&~t)|((z^(x&(~y|z)))&t)) + 4099276460824344806*((~(x|(~y|z))&~t)|(~(x&y)&t)) + 5465701947765793072*(((z^~(x&(~y&z)))&~t)|((~(x^y)&~(x^z))&t)) + 2049638230412172407*(((z^(x&(y|z)))&~t)|((y^(~x&(~y|z)))&t)) + 15713893099826655078*(((y^~(x&(y^z)))&~t)|(((x&y)|(y^z))&t)) + 1366425486941448265*(((y|(x&z))&~t)|(~(~x&(y&z))&t)) + 15030680356355930939*(((y^~(~x|(y&z)))&~t)|(((x&z)^~(x^(~y&z)))&t)) + 9564978408590137876*((~(x^y)&~t)|((~x|(y&z))&t)) + 683212743470724144*(((x&~z)&~t)|(~(~x&(y^z))&t)) + 1366425486941448269*(((y^(~x&(~y|z)))&~t)|((y|z)&t)) + 4099276460824344800*(((~z&~(x^y))&~t)|(~(x&~x)&t)), x + y
6148914691236517206*(((y^(x&(~y|z)))&~t)|((y^(~x|(y&z)))&t)) - 2*(((z&(x|y))&~t)|((y^(~x|(y&z)))&t)) - 7*((x&~t)|((y^(x|(y|z)))&t)) + 6148914691236517203*((((x|~y)&~(x^(y^z)))&~t)|((y^~(~x|(~y&z)))&t)) + 6148914691236517216*(((y^~(x|(y^z)))&~t)|((y^(x&(~y|z)))&t)) - 9*(((~x&(y^z))&~t)|(((x^y)|(x^z))&t)) + 5*(((y^(~x|(y^z)))&~t)|(~(x&(y&z))&t)) + 6148914691236517199*(((z^(~x&(y|z)))&~t)|(~(~x|(~y&z))&t)) + 6148914691236517202*((~x&~t)|((~(x|y)|(x^(y^z)))&t)) + 12297829382473034421*(((x&~y)&~t)|((x^(~y&z))&t)) - 7*((((x&~y)|~(y^z))&~t)|((x&(y|z))&t)) + 3*(((~x&(y&z))&~t)|(~(~x&(y|z))&t)) + 12297829382473034412*(((z^~(x|y))&~t)|((z&(x|~y))&t)) + 12297829382473034418*(((z|(x^y))&~t)|((z&(x|~y))&t)) + 6148914691236517201*((~(y|z)&~t)|((z|~(x^y))&t)) + (((x^y)&~t)|((z|~(x^y))&t)), x + y
-6*(((z^(x|(~y|z)))&~t)|((y^~(x&(~y&z)))&t)) + 4*((~(x&(y&z))&~t)|((y^(~x|(~y|z)))&t)) + ((~(x|(y|z))&~t)|((z^~(~x&(y&z)))&t)) - 3*(((z&~(x&~y))&~t)|((z^~(~x&(y&z)))&t)) - ((~(x|z)&~t)|((y^(x&(~y|z)))&t)) - (((~(x&y)&~(y^z))&~t)|((z&~(x^y))&t)) + ((((y&~z)^(~x|(y^z)))&~t)|(~(x^y)&t)) - 3*(((z^(~x|(y&z)))&~t)|((y^~(x|~z))&t)) + 3*(((z^(~x|(~y&z)))&~t)|((~z|~(x^y))&t)) - 2*(((z^~(x|(~y&z)))&~t)|((z&(x|~y))&t)) + 4*((~(~x&(y|z))&~t)|(((y&z)|(~x&(y|z)))&t)) - 3*(((x|(~y&z))&~t)|((y^(~x&(y^z)))&t)) + 3*(((x^(~y&z))&~t)|((z^~(~x|(y&z)))&t)), x + y
435749860008887047*(((y^(~x|(~y|z)))&~t)|((~(x&y)&(x^(y^z)))&t)) + 1888249393371843866*(((y|(x&z))&~t)|((z^(x|(y&z)))&t)) + 6390997946797010011*(((y^~(x&(y&z)))&~t)|((y^~(x&(y^z)))&t)) + 2033499346708139546*(((y|~(x|~z))&~t)|((z^(x|y))&t)) + 435749860008887044*((((x|y)&~(x^(y^z)))&~t)|((y^~(~x&(~y&z)))&t)) + 3921748740079983413*(((~(x&~y)&~(y^z))&~t)|((y^~(~x&(y&z)))&t)) + 5664748180115531599*(((z^(~x|(y|z)))&~t)|((~y|(x^z))&t)) + 18301494120373255935*((~(y^z)&~t)|(~(x&(y&z))&t)) + 871499720017774090*(((~(x&~y)&~(y^z))&~t)|((z^(~x|(~y&z)))&t)) + 12491495986921428654*(((~x&(y|z))&~t)|(((x&~y)|(x^(y^z)))&t)) + 14524995333629568204*((y&~t)|((y^(~x|(~y&z)))&t)) + 2469249206717026597*((z&~t)|((y^(x&~z))&t)) + 4938498413434053188*(((z^(x&~y))&~t)|((y^~(x|z))&t)) + 11910496173576245928*(((y&~(x&z))&~t)|((y|~(x|z))&t)) + 1307249580026661137*((~(x|y)&~t)|((z^~(~x|(y&z)))&t)) + 6826747806805897052*(((y^(x|z))&~t)|(~(x&~y)&t)), x + y
9765923333140350856*(((z&~(x&y))&~t)|((z^(~x|(~y|z)))&t)) + 6269481645966644993*(((x&(y&z))&~t)|(((x^y)&~(x^z))&t)) + 7234017283807667300*(((~(x^y)|~(x^z))&~t)|((z^~(x&~y))&t)) + 1567370411491661249*(((z^~(x&(y&z)))&~t)|(~(y&z)&t)) + 4219843415554472591*~((y&~z)^x) + 12177262427742906623*(((x&(y|z))&~t)|(((x^y)|(x^z))&t)) + 7475151193267922878*((~(~x|(y|z))&~t)|((y&~(x^z))&t)) + 13141798065583928930*(((z^~(~x&(y|z)))&~t)|(((x|y)&(x^(y^z)))&t)) + 11212726789901884315*((((y&z)^~(x&(y^z)))&~t)|((x|~y)&t)) + 3014173868253194708*((((x^y)|(x^z))&~t)|(((x&y)|(y^z))&t)) + 7957419012188434029*(((x^z)&~t)|((y^(x&~z))&t)) + 17120507571678145945*(((x&(y|z))&~t)|((y|~(x|~z))&t)) + 7836852057458306244*(((y|(x^z))&~t)|(((y&z)|(x&(y|z)))&t)) + 15070869341265973542*(((x|~z)&~t)|((z|(x&~y))&t)) + 2893606913523066921*(((~x|(y^z))&~t)|((x|(~y|z))&t)) + 6510615555426900570*(((z|(x^y))&~t)|((y|z)&t)), x + y
1357487298964725792*((~(x&(y|z))&~t)|((z^(x|(y&z)))&t)) + 12172136114050374618*(((y^~(~x&(~y&z)))&~t)|((y^~(x&(y^z)))&t)) + 15671436706937223325*((((x&z)|~(y|z))&~t)|((~(x&~y)&(y^z))&t)) + 14389365369026093412*(((~x&(y&z))&~t)|(((x&~y)|(y^z))&t)) + 5429949195858903174*(((y^z)&~t)|((z^~(~x&(~y|z)))&t)) + 15777019052412257556*(((~(x&y)&~(y^z))&~t)|((y^(x&(y|z)))&t)) + 8929249788745751886*(((~x&(~y|z))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 3167470364251026851*(((~y&(x^z))&~t)|((z^(~x|(~y&z)))&t)) + 16576428239580373857*((((x&y)|(x^(y^z)))&~t)|((y^~(x&(~y|z)))&t)) + 16335097164208867050*(((~y&~(x^z))&~t)|((x&z)&t)) + 12503966342686196475*(((z&(x|~y))&~t)|((y^(~x|(y^z)))&t)) + 7375680991041676813*((~(x^(y&z))&~t)|((y^(x&~z))&t)) + 8763334674427840954*((~(x|z)&~t)|(~(x&(y^z))&t)) + 3212719940883184380*(((y|(x&~z))&~t)|((y|~(x|~z))&t)) + 12624631880371949879*(((z^(~x|(~y|z)))&~t)|((x|(y&z))&t)) + 11674390771096641823*((((x&~y)|~(x^(y^z)))&~t)|(~(y&~z)&t)), x + y
15811494920322472810*((~(y^z)&~t)|(~(~x|(~y|z))&t)) + 14902788315706238746*((~(x&(~y|z))&~t)|((z^(~x|(y|z)))&t)) + 10631867274009938620*(((y^~(~x|(y&z)))&~t)|((~(x&~y)&(y^z))&t)) + 14721046994782991931*(((~y&(x^z))&~t)|((~y&~(x^z))&t)) + 8178359441546106626*((~(x&~x)&~t)|((y^~(~x&(~y&z)))&t)) + 11722315199549419501*((~y&~t)|((z^~(x&~y))&t)) + 12812763125088900386*(((z^(~x|(y&z)))&~t)|((y^(x|(~y|z)))&t)) + 14357564352936498301*((((x&y)^(y|z))&~t)|(((x|~y)&(y^z))&t)) + 8269230102007730029*(((z^~(x|~y))&~t)|(~(y&z)&t)) + 10813608594933185435*(((y^(x&(y^z)))&~t)|((y^~(~x&(~y|z)))&t)) + 12449280483242406755*(((z^(x|(~y|z)))&~t)|((z^(x&y))&t)) + 3180473116156819245*((((x|y)&~(x^(y^z)))&~t)|((y^~(x|(y^z)))&t)) + 17083684166785200511*(((z|~(x|~y))&~t)|(((x&~y)|(x^(y^z)))&t)) + 2998731795233572435*(((x^(~y&z))&~t)|((x|(~y&z))&t)) + 16356718883092213256*(((z^~(x&~y))&~t)|((y|(x^z))&t)) + 15720624259860849403*(((y^(x&(~y|z)))&~t)|((z|(x^y))&t)), x + y
15747220550727666010*(((y|(x^z))&~t)|(~(~x|(~y|z))&t)) + 15297299963564018413*(((y^~(~x&(y&z)))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 6748808807454714013*(((y^z)&~t)|((y^(~x|(y|z)))&t)) + 12597776440582132806*((((x^y)&~(x^z))&~t)|(~(x|(y^z))&t)) + 14847379376400370818*((~(~x&(y&z))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 3599364697309180798*(((y^~(x&(y|z)))&~t)|(~x&t)) + 4499205871636476007*(((y^(~x|(y|z)))&~t)|((y^(x|~z))&t)) + 9898252917600247210*(((y^~(~x|(y^z)))&~t)|(((x&~y)|~(x^(y^z)))&t)) + 10348173504763894804*((((x|~y)&(y^z))&~t)|((~z|(x^y))&t)) + 8098570568945656806*(((z^~(~x&(y&z)))&~t)|((z^(~x|(~y&z)))&t)) + 4949126458800123604*(((y^(x|~z))&~t)|((y^~(x&(y|z)))&t)) + 2699523522981885601*((~(x^(y&z))&~t)|((x&(~y|z))&t)) + 3149444110145533201*(((y^~(x|(y^z)))&~t)|(~(~x&(y&z))&t)) + 15297299963564018422*((((x&z)^(x^(y&z)))&~t)|((y|(x&~z))&t)) + 16647061725054961216*((~(x|(y|z))&~t)|(((x&y)|~(x^(y^z)))&t)) + 4499205871636476000*(((x^(y&z))&~t)|((x|(y&z))&t)), x + y
3988485205126389538*(((~x|(y&z))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 12962576916660765999*(((y^~(x|~z))&~t)|(~(x|(y^z))&t)) + 2991363903844792155*(((z|~(x^y))&~t)|(((x&y)^(y|~z))&t)) + 4487045855767188228*((~(x|(y^z))&~t)|((x^(y|z))&t)) + 9472652362175175155*(((x|y)&~t)|((x^(~y|z))&t)) + 4487045855767188231*((((x|y)&(y^z))&~t)|(~(x&(~y|z))&t)) + 6979849108971181695*(((~(x&~y)&~(y^z))&~t)|((y^(x&(y|z)))&t)) + 17449622772427954232*((~(x|(~y|z))&~t)|((x^y)&t)) + 9971213012815973846*(((z^(x&(~y|z)))&~t)|((x^y)&t)) + 3988485205126389538*(((x&(~y|z))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 17449622772427954232*(((y|~(x|~z))&~t)|(~(x^(y&z))&t)) + 4487045855767188230*(((x|(y^z))&~t)|((z&~(x&~y))&t)) + 8974091711534376464*(((z^(x|y))&~t)|((z^~(~x|(y&z)))&t)) + 11466894964738369924*(((x&z)&~t)|((y|(x^z))&t)) + 12962576916660766000*(((~(x&~y)&(y^z))&~t)|((y|z)&t)), x + y
