# 49374 + 3735936685*x
49374*(x&~y) + 18446744073709502242*~(x&y) + 3735887311*x, 49374 + 3735936685*x
10297660450418051044*(x&~y) + 10297660446682114359*~x + 10297660450418051044*(x&y) + 10297660446682163733, 49374 + 3735936685*x
3735936685*x + 49374, 49374 + 3735936685*x
18446744069973565557*~(x|~y) + 18446744073709502242*~(x^y) + 49374*y + 3735887311*(x|y), 49374 + 3735936685*x
18446744073709502242*~x + 3735887311*x, 49374 + 3735936685*x
3735887311*(x&~y) + 18446744069973614931*~x + 3735887311*~(x&~y), 49374 + 3735936685*x
18446744069973664305*(x&~y) + 3735887311*~y + 18446744069973614931*~x + 3735887311*(x|y), 49374 + 3735936685*x
3735936685*(x|~y) + 3735936685*(x|y) + 3735986059, 49374 + 3735936685*x
3735887311*~y + 18446744069973614931*~x + 3735887311*y, 49374 + 3735936685*x
18446744066237628872*~(x|y) + 3735936685*~y + 3735936685*~(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
3735936685*(x&y) + 18446744069973614931*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 18446744073709502242*~(x|~y) + 3735887311*x, 49374 + 3735936685*x
18446744066237727620*~(x|y) + 18446744066237727620*~(x|~y) + 3735887311*~(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*x
18446744069973664305*~(x|~y) + 49374*(x&y) + 18446744073709502242*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
11504364753102263557*~(x|y) + 18446744073709502242*~(x|~y) + 11504364756838200242*x + 6942379320607238685*(x|~y), 49374 + 3735936685*x
10581017181040456329*~x + 2715290292107347101*x + 7865726892669045913*(x|~y) + 7865726892669045913*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 49374*~y + 18446744073709502242*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
18446744073709502242*(x&~y) + 3735936685*x + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 3735936685*(x|y) + 49374, 49374 + 3735936685*x
18446744069973565557*~(x|y) + 3735936685*(x&~y) + 3735936685*~(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
3735986059*x + 18446744073709502242*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
49374*(x&y) + 3735887311*x + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305, 49374 + 3735936685*x
18446744069973565557*~(x|y) + 3735936685*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735936685*(x&~y) + 18446744073709502242*(x^y) + 3735887311*(x&y), 49374 + 3735936685*x
3735887311*(x&~y) + 3735936685*(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*(x|~y) + 49374, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744073709502242*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
18446744069973664305*~y + 18446744066237727620*~x + 7471774622*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973614931*~(x|~y) + 3735936685*y + 49374, 49374 + 3735936685*x
5363787087431133879*~x + 5363787091167070564*x + 5363787087431183253, 49374 + 3735936685*x
18446744066237776994*~(x|y) + 3735887311*~y + 18446744073709502242*~x + 3735887311*~(x^y), 49374 + 3735936685*x
16896334078679966359*~x + 16896334082415903044*x + 16896334078680015733, 49374 + 3735936685*x
18446744066237727620*~x + 3735887311*~(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*x
3735887311*~(x&y) + 7471823996*(x&y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
18446744069973664305*~(x|y) + 18446744073709502242*~x + 3735887311*(x|~y), 49374 + 3735936685*x
12661575079285747600*(x&~y) + 12661575075549810915*~x + 5785168998159691327*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
3735887311*~(x|y) + 18446744069973614931*~x + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973664305*~y + 18446744073709502242*~x + 18446744069973664305*~(x^y) + 7471774622*(x|~y), 49374 + 3735936685*x
3735887311*~(x|~y) + 18446744069973614931*~x + 3735887311*(x|~y), 49374 + 3735936685*x
3735936685*(x&~y) + 18446744073709502242*~y + 18446744073709502242*~(x|~y) + 3735887311*(x&y), 49374 + 3735936685*x
3735887311*~(x|y) + 3735887311*(x^y) + 7471823996*(x&y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
