# 49374 + 3735936685*x
18446744069973614931*~(x|(~y|z)) + 3735936685*(y&~z) + 18446744069973614931*~(x&(~y|z)) + 18446744069973664305, 49374 + 3735936685*x
18446744055029917565*(~(x|y)|(y^z)) + 11207760681*~(x&y) + 7471823996*(z&(x|~y)) + 7471873370*(y^(~x|(y^z))) + 18446744066237678246*(~(x^y)|(x^z)) + 18446744040086220199*(z^~(x|(y&z))) + 18446744062501790935*((y&z)|(x&(y|z))) + 41095155413*(y|~(x^z)), 49374 + 3735936685*x
3735837937*(y^~(x&(~y&z))) + 98748*((y&z)^~(~x&(y^z))) + 18446744073709502242*(z^~(~x&(~y|z))) + 18446744073709502242*(z^~(~x|(~y&z))) + 3735837937*(x&(y|z)) + 3736035433*((x&z)^(x^(y&z))) + 18446744073709354120*((x&y)|~(y^z)) + 18446744069973763053*(~(x^y)|(x^z)), 49374 + 3735936685*x
18446744073709502242*((x^y)|(x^z)) + 18446744073709502242*(~(x^y)&~(x^z)) + 3735936685*x, 49374 + 3735936685*x
3735936685*(~z&~(x^y)) + 18446744066237678246*(y&~z) + 3735887311*((x|~y)&~(x^(y^z))) + 18446744066237727620*~(x|(y^z)) + 3735936685*(y&~(x&z)) + 18446744073709502242*(~x&(~y|z)) + 3735887311*(y^(x&~z)), 49374 + 3735936685*x
18446744058765903624*(~z&(x^y)) + 7471823996*(z^(x|(y|z))) + 11207711307*(~(x&y)&(x^(y^z))) + 11207760681*(x&(~y&z)) + 18446744066237727620*(y^z) + 18446744069973614931*((y&~z)^(~x|(y^z))) + 3735887311*(y|~(x^z)), 49374 + 3735936685*x
7471873370*~(x|z) + 18446744069973664305*(z^(x|y)) + 18446744069973614931*((x|~y)&~(x^(y^z))) + 11207760681*((x&z)^(x^(~y&z))) + 7471873370*(~x&(y&z)) + 18446744069973565557*~(x&(y|z)) + 18446744069973614931*(~(x|~y)|(y^z)) + 3735887311*(y&(x|~z)), 49374 + 3735936685*x
18446744073709502242*~(x|(y^z)) + 3735936685*((x|y)&(x^(y^z))) + 18446744069973614931*(~(x|y)|(x^(y^z))) + 3735936685*(x|~y) + 18446744073709502242*(x|(y^z)), 49374 + 3735936685*x
18446744073709502242*~(x|z) + 3735887311*(~y&(x^z)) + 18446744073709502242*(~(x&y)&(x^(y^z))) + 49374*(z^~(x&(y&z))) + 7471725248*(x&(y|z)) + 18446744069973713679*((x&y)|~(y|~z)) + 18446744073709502242*(y^~(x|(y&z))), 49374 + 3735936685*x
3735887311*(x&~y) + 3735887311*(y^~(~x|(y^z))) + 7471774622*~(x|~z) + 18446744066237727620*~x + 3735887311*(~(x|~y)|~(x^(y^z))) + 11207661933*(~(x^y)&~(x^z)) + 18446744069973664305*(~(x&~y)&~(y^z)) + 18446744069973664305*~(~x&(y^z)), 49374 + 3735936685*x
13785207080723584135*~(x|(y&z)) + 6992305491346870190*~(~x|(y&z)) + 2330768494625015398*(y&(x^z)) + 13785207080723584135*(~x&(y|z)) + 16115975579084536218*~(~x|(~y&z)) + 9323073985971885588*(~x|(y&z)) + 16115975579084536218*((y&z)|(x&(y|z))) + 13785207080723584135*~(~x&(y^z)), 49374 + 3735936685*x
18446744073709502242*(z^(~x|(~y|z))) + 18446744069973614931*((y&z)^~(x&(y^z))) + 3735936685*((x&z)^(x^(~y&z))) + 3735986059*(z^~(x&y)) + 18446744073709502242*(y^~(x|(y^z))) + 18446744073709502242*(z|(x&~y)), 49374 + 3735936685*x
8806408644715044003*(y^~(~x&(~y&z))) + 8806408644715093377*(z^~(~x&(y|z))) + 833926784279364862*~(x&(~y|z)) + 9640335432730394924*(z&~(x^y)) + 18446744069973614931*(z^(x&~y)) + 7972481856699742456*(y|~(x|~z)) + 9640335432730394924*(y|(x^z)) + 9640335432730394924*(x|(y&z)), 49374 + 3735936685*x
7109827858535010424*~(x|y) + 7109827858535010424*(x&~y) + 4227088367847291449*((x^y)&~(x^z)) + 18446744069973614931*~(x&(y&z)) + 15564004583021832641*(~(x^y)|(x^z)) + 14219655713334084163*~(x&(~y&z)) + 7109827858535010424*((y&z)|(x&(y|z))) + 18446744069973614931*~(x&~z), 49374 + 3735936685*x
18446744066237678246*(y^~(~x|(~y&z))) + 18446744066237727620*~(x&z) + 3735936685*(y^(x&(~y|z))) + 3735887311*(~z|(x^y)) + 18446744058765903624*(y^~(x|(y^z))) + 11207711307*(y^(~x&(~y|z))) + 11207760681*(y|~z) + 18446744069973614931*(z|~(x^y)), 49374 + 3735936685*x
18446744066237727620*~(x|z) + 3735870853*(y^~(x&~z)) + 18446744073709518700*((x&y)^(y|~z)) + 3735903769*(y^(x&(y|z))) + 18446744069973664305*(~(x|y)|~(x^(y^z))) + 3735920227*((x|~y)&~(y^z)) + 18446744069973614931*(z&~(x&~y)) + 3735903769*~(x&~y), 49374 + 3735936685*x
7471873370*(~z&(x^y)) + 924941040387694906*(x&~y) + 924941044123680965*(x&(y^z)) + 17521803033321807336*(z^~(x&(~y&z))) + 18446744069973614931*(y^(x|z)) + 18446744069973614931*(y&~(x&z)) + 924941040387694906*~(x&~y) + 17521803037057744021*(z|(x&y)), 49374 + 3735936685*x
3735986059*~(~x|(y|z)) + 49374*(y&(x^z)) + 18446744073709502242*~(x&z) + 3735936685*(x&(y|z)) + 18446744073709502242*(x|(y&z)), 49374 + 3735936685*x
7378697627242278385*~(x|y) + 7378697630978165696*(~y&~(x^z)) + 11068046446467273231*(y^(x|z)) + 14757395258220444081*(z^~(~x&(y&z))) + 18446744069973614931*(~x&(y|z)) + 11068046446467273231*((x&z)^(y|z)) + 7378697630978165696*(y^~(x&(~y|z))) + 11068046446467273231*((x&z)^(x^(y&z))), 49374 + 3735936685*x
16397105838731228891*(~x&(~y&z)) + 16397105842467165576*((x^y)&~(x^z)) + 10248191152475944141*(z^(x|~y)) + 16397105842467165576*(x^(y|z)) + 16397105842467165576*(y^(x&z)) + 14347467611224779536*(z^(~x|(~y&z))) + 10248191156211880826*(x|(y^z)) + 12297829383718330181*(z|~(x|y)), 49374 + 3735936685*x
3735936685*(y^~(~x|(y^z))) + 7471823996*((x&y)^(y|z)) + 18446744066237678246*(~x|(y^z)) + 3735887311*((x&y)|~(y|z)) + 3735936685*(y^(~x|(~y&z))) + 18446744069973614931*(~(x|~y)|(x^(y^z))), 49374 + 3735936685*x
3735689815*(z^(x|(y|z))) + 49374*(y^(x|(y&z))) + 18446744073709452868*(y^(~x|(y|z))) + 49374*(~(x|~y)|(y^z)) + 3735837937*(x&(y&z)) + 148122*(z^~(x&(y&z))) + 18446744069973565557*((x&z)^~(x^(~y&z))) + 3735887311*(z^~(x|y)), 49374 + 3735936685*x
7471823996*~z + 18446744069973614931*(y^(~x|(y|z))) + 7471823996*~(x|~z) + 18446744043822156884*(y^~(x|(~y&z))) + 14943697366*(x^(~y&z)) + 26151458047*(z^(~x&(~y|z))) + 11207760681*y + 18446744055029917565*(z|(x^y)), 49374 + 3735936685*x
463459169602583891*(x&(~y&z)) + 17519825730768496523*(x&(y^z)) + 18446744069973664305*((x|y)&(y^z)) + 3735887311*(y^(x|z)) + 18446744066237727620*~x + 463459177074358513*(~(x|~y)|~(x^(y^z))) + 463459173338471202*(y^(~x&(y|z))) + 17983284904106967725*(~x|(y&z)), 49374 + 3735936685*x
11207711307*(z^(~x|(y|z))) + 3735936685*(y^~(x&(y^z))) + 7471823996*(y^~(~x&(y^z))) + 18446744069973614931*(y^~(x&~z)) + 18446744062501790935*~(x&(y|z)) + 18446744066237727620*(z^~(x&(y&z))) + 11207711307*(z^(x&~y)), 49374 + 3735936685*x
18446744073709403494*(y^~(~x|(~y&z))) + 3735887311*(y^(x|~z)) + 18446744069973713679*(~x|(~y&z)) + 3735936685*((x&y)|(x^(y^z))) + 18446744073709452868*(z^~(x|(~y&z))) + 18446744069973664305*(z^~(~x|(y&z))) + 98748*(y^~(~x|(y&z))) + 3735837937*(z|(x&y)), 49374 + 3735936685*x
18446744066237678246*~(x|(~y|z)) + 49374*(z^(x|(~y|z))) + 18446744073709502242*(z^(x|(~y&z))) + 11207859429*(y^(x&(y|z))) + 18446744066237628872*~(x^(~y&z)) + 3735936685*(z^~(x&y)) + 3735887311*~(~x&(y&z)) + 18446744069973614931*(z|(x^y)), 49374 + 3735936685*x
18446744069973614931*(z^(x|(y&z))) + 3735936685*(x&(~y&z)) + 18446744069973614931*(~(x&y)&~(x^(y^z))) + 18446744069973614931*(z|~(x|y)) + 7471873370*(x|(~y|z)) + 49374, 49374 + 3735936685*x
7471873370*((x|y)&(y^z)) + 18446744069973614931*(z^~(~x&(~y|z))) + 18446744073709502242*(~x|(~y&z)) + 3735887311*~(~x|(~y&z)) + 18446744069973614931*((x&z)|(y&~z)) + 3735936685*(z^(x&~y)), 49374 + 3735936685*x
18446744069973565557*(y&(x^z)) + 3735986059*(y^~(~x&(~y|z))) + 3735986059*(y^(~x&(y|z))) + 18446744073709502242*(y^~(x&(y&z))) + 18446744069973614931*(y^~(~x|(y&z))) + 7471873370*(x|y) + 18446744069973565557*(x|(y|z)), 49374 + 3735936685*x
18446744069973614931*(~x&(y&z)) + 3735986059*((x&z)^(x^(y&z))) + 18446744073709502242*(y|~z) + 18446744069973614931*(z^~(~x|(y&z))) + 3735887311*(x|z), 49374 + 3735936685*x
12297829376246522643*(~x&(~y&z)) + 12297829383718297265*(y^(~x|(y&z))) + 6148914693727141662*(z^~(~x&(~y&z))) + 18446744069973614931*((x&y)^(y|~z)) + 12297829387454233950*(y^~(~x&(~y|z))) + 6148914689991204977*(y^(x&z)) + 12297829383718346639*(x&y) + 6148914693727092288*(~(x&~y)&(x^(y^z))), 49374 + 3735936685*x
18446744069973565557*(~(x^y)&(x^z)) + 3735936685*~(y&z) + 18446744069973614931*~(x^(y^z)) + 18446744069973565557*(z^~(x&y)) + 49374*(x&y) + 3735936685*((x&y)|~(y|z)) + 3735887311*((y&z)|(x&(y|z))), 49374 + 3735936685*x
49374*(x&~z) + 6148914693727141662*(x&~y) + 12297829383718346639*((x|~y)&~(x^(y^z))) + 6148914689991155603*(y^(~x|(~y|z))) + 6148914689991204977*(y^(x|(~y&z))) + 6148914693727141662*(x|(~y&z)) + 12297829383718297265*(y|(x&~z)), 49374 + 3735936685*x
18446744062501790935*(x^(y|z)) + 3735887311*~(x&z) + 18446744062501790935*(~(x&y)&~(x^(y^z))) + 11207760681*(y^(x|(y^z))) + 18446744069973614931*(z&(x|~y)) + 7471823996*(z^~(x|(y&z))), 49374 + 3735936685*x
6148914689991270809*~(~x|(~y|z)) + 12297829383718379555*(~x&(~y&z)) + 18446744073709502242*(~(x&~y)&(y^z)) + 6148914693727108746*((y&z)^~(~x&(y^z))) + 12297829379982442870*(z^(x|(~y&z))) + 12297829379982393496*(~x&(~y|z)) + 12297829383718330181*(z^(x&y)) + 3735887311*((x&z)^(x^(y&z))), 49374 + 3735936685*x
7471823996*(y^(~x|(~y|z))) + 3735936685*(~(x|y)|(y^z)) + 18446744066237678246*(y&~(x&z)) + 11207760681*(~(x&~y)&(x^(y^z))) + 18446744058765854250*((x&y)|(x^(y^z))) + 18446744069973614931*(y|~(x|z)) + 18679634051*(y|(x&~z)) + 18446744066237678246*(~x|(~y|z)), 49374 + 3735936685*x
3735887311*(y^(~x|(~y|z))) + 98748*(z^(x&(y|z))) + 3735837937*(x^z) + 18446744066237727620*~(x&(~y|z)) + 18446744066237826368*~(~x|(y^z)) + 7471774622*(y&~(x^z)) + 3735887311*((x&y)|~(y^z)) + 18446744073709502242*(z&~(x&~y)), 49374 + 3735936685*x
18446744069973565557*(~(x&y)&(x^(y^z))) + 18446744069973565557*((x&z)|(y&~z)) + 3735936685*~(~x&(~y|z)) + 3735986059*(x|(y^z)) + 18446744073709502242*(x|(~y|z)), 49374 + 3735936685*x
