# 49374 + 3735936685*x
5172858198*((((x&y)^(y|~z))&~t)|((~(x^y)&(x^z))&t)) + 6322365784*(((y|z)&~t)|(((x|~y)&~(x^(y^z)))&t)) + 4310715165*((((y&z)^~(x&(y^z)))&~t)|((y^(x|z))&t)) + 18446744070548344037*((~(x&~x)&~t)|((y^(~x|(~y|z)))&t)) + 18446744059915263088*(((x^(~y|z))&~t)|(((x&~y)|(y^z))&t)) + 18446744063938613700*((((x|~y)&~(y^z))&~t)|(((x^y)&(x^z))&t)) + 5172858198*((((x&~y)|~(y^z))&~t)|((y&~(x&z))&t)) + 18446744071123122517*((((x&z)^~(y&~z))&~t)|((~x|(~y&z))&t)) + 14369067008*(((x^(~y|z))&~t)|(~(~x|(y^z))&t)) + 18446744073422187063*(((x|y)&~t)|((~(x&~y)&(x^(y^z)))&t)) + 18446744066812407352*(((z^~(~x&(y&z)))&~t)|(~(x^y)&t)) + 18446744063076421293*((((x&y)^(x^(y&z)))&~t)|((x^(~y&z))&t)) + 18446744068249279491*(((~z|~(x^y))&~t)|((y^(x&~z))&t)) + 18446744058478341575*(((~(x&~y)&~(x^(y^z)))&~t)|((y^(x&(y^z)))&t)) + 6322365784*((((y&z)^~(~x&(y^z)))&~t)|((~x|(~y|z))&t)) + 21553575825*((((x&y)|~(y^z))&~t)|((x|(y|z))&t)), 49374 + 3735936685*x
13727809541488083936*(((z|(x^y))&~t)|(~(x|z)&t)) + 17588755967092800719*(((y^~(x|(y^z)))&~t)|((y&~z)&t)) + 7292898822184473761*(((~z&~(x^y))&~t)|((y^~(x&(~y&z)))&t)) + 643491075292679347*(((y|~(x|z))&~t)|((x&(y^z))&t)) + 10510354183704222504*(((y^(x|z))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 5576922635102331266*(((y&~(x^z))&~t)|(((x|~y)&(y^z))&t)) + 7721892869888968869*(((y^~(~x&(~y&z)))&~t)|((z^(x|~y))&t)) + 12226330378258188995*(((~(x&y)&~(y^z))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 3431952377900172301*((((x&y)^(y|~z))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 7078401802068113518*((x&~t)|((z^(~x|(~y&z)))&t)) + 3646449405488405914*(((x&~y)&~t)|(((y&~z)^(x|(y^z)))&t)) + 18017750029740943819*(((y^(x|(~y|z)))&~t)|(((x&~y)|(x^(y^z)))&t)) + 13084318466195355215*(((z&(x|~y))&~t)|((~y|~(x^z))&t)) + 6863904774479929279*(((y|~(x|z))&~t)|((z^~(~x|(y&z)))&t)) + 9223372036854800495*(((x&(y&z))&~t)|(~(~x&(y^z))&t)) + 15872779783746545535*(((z^(x|(y|z)))&~t)|((z|(x&~y))&t)), 49374 + 3735936685*x
14757395269428155388*(((x&~z)&~t)|(((x|y)&(y^z))&t)) + 3689348808017283539*(((y^~(~x&(~y&z)))&~t)|((z^(x|~y))&t)) + 14757395224597359534*(((y^(x|(~y|z)))&~t)|((~x&(~y|z))&t)) + 3689348834168593464*((~(x|z)&~t)|((~(x|y)|~(x^(y^z)))&t)) + 3689348822960882157*(((~(x|y)|~(x^(y^z)))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 14757395273164042699*((~(x&(~y&z))&~t)|((z^(~x|(~y&z)))&t)) + 11068046450203209916*((((x|y)&(y^z))&~t)|((z^~(x&(y|z)))&t)) + 11068046453939097227*(((y^(x|(y^z)))&~t)|((x&(y|z))&t)) + 7378697597355081149*(((~(x&~y)&~(x^(y^z)))&~t)|(~(~x&(~y|z))&t)) + 18446744066237727620*(((y^~(x&(y^z)))&~t)|(((x&~y)|(x^(y^z)))&t)) + 7378697634714053007*(((y^(x|z))&~t)|((y|~z)&t)) + 18679535303*((~(y|z)&~t)|(~(x&(y^z))&t)) + 3689348819224994846*((~(x&z)&~t)|(((x&~y)|~(y^z))&t)) + 14757395228333246845*((((x|y)&(x^(y^z)))&~t)|((y|~(x^z))&t)) + 7378697649657700999*(((z^~(x&(y|z)))&~t)|((x|y)&t)) + 14757395254484507396*((~(x^(~y&z))&~t)|((~x|(~y|z))&t)), 49374 + 3735936685*x
18446743886912914862*((z^t)&~y) + 18446743830873913961*((((x&y)|~(x^(y^z)))&~t)|((y^~(x&(~y&z)))&t)) + 194268460750*(((x&y)&~t)|((y^~(x&(y^z)))&t)) + 369857386197*((((x&z)^~(x^(y&z)))&~t)|((x&~y)&t)) + 18446743916800408342*(((y^(~x|(y|z)))&~t)|((z^~(x&~y))&t)) + 239099700970*(((z^~(~x|(~y&z)))&~t)|((z^~(x&~y))&t)) + 18446743390033780123*(((x&z)&~t)|(((x^y)&(x^z))&t)) + 18446743838345737957*(((y^(x|z))&~t)|(((x&z)^(y|z))&t)) + 321290258666*(((~z&~(x^y))&~t)|(~(x&y)&t)) + 18446744002726803975*(((x&(y^z))&~t)|((z^~(~x|(~y&z)))&t)) + 33623430165*((y&~t)|((x^(~y&z))&t)) + 18446742934249948919*((~(x&(~y|z))&~t)|(~(x^z)&t)) + 440840035090*((~(x&~z)&~t)|(~(x^z)&t)) + 138229509223*(((x^(~y|z))&~t)|((y&z)&t)) + 261515370454*(((y|z)&~t)|(((x&z)^~(x^(~y&z)))&t)) + 268987145076*(((~x|(y^z))&~t)|((~(x|~y)|~(y^z))&t)), 49374 + 3735936685*x
18446744073261229339*(((~x|(y|z))&~t)|((z^(~x|(y&z)))&t)) + 6148914693577684445*(((~(x^y)|~(x^z))&~t)|(~(~x|(y&z))&t)) + 12297829387753148384*(((x^z)&~t)|(~(x|~y)&t)) + 6148914688048508026*(((z^~(~x&(~y|z)))&~t)|(((x&y)^(y|~z))&t)) + 12297829383419481579*(((z^~(x&(~y|z)))&~t)|((z^~(~x&(y&z)))&t)) + 18446744073261229339*((~(x|(y|z))&~t)|((~x&(y|z))&t)) + 18446744069973614931*(((z&(x|~y))&~t)|(~(x&(~y|z))&t)) + 6148914688496830303*(((y^(x&(~y|z)))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 12297829384465533976*((((x&y)|~(y|~z))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 18446744072962364279*(x^(~y&(z|t))) + 12297829385063264096*((~(x|(y^z))&~t)|(((y&~z)^(x|(y^z)))&t)) + 298865060*((((x&y)|~(y|z))&~t)|((y&(x|z))&t)) + 6148914684910350835*((((y&~z)^(~x|(y^z)))&~t)|(y&t)) + 12297829387304826107*(((y^~(~x&(y&z)))&~t)|((y|~z)&t)) + 6148914687450777906*(((z^(~x|(~y&z)))&~t)|(~(x&(y^z))&t)) + 6874093876*(((z^(~x&(y|z)))&~t)|(~(x&~y)&t)), 49374 + 3735936685*x
16397105852238103492*(((y^~(x&(y&z)))&~t)|((~(x&y)&(y^z))&t)) + 6148914685393092343*(((y^~(x|z))&~t)|((~(x&y)&(y^z))&t)) + 2049638234690958172*((~(~x|(~y&z))&~t)|(((x|~y)&(y^z))&t)) + 18446744065375485839*(((y^(x|(y|z)))&~t)|((y^~(x&~z))&t)) + 8198552918359764449*((~(~x&(y&z))&~t)|((y^~(~x|(y^z)))&t)) + 16397105856261454104*(((x^(~y|z))&~t)|((x^y)&t)) + 14347467591108125224*(((x&(y^z))&~t)|((y^(x|(~y&z)))&t)) + 10248191163396439017*((~(~x|(~y&z))&~t)|(~(x&(y&z))&t)) + 13219510048*(((x&(y^z))&~t)|(((x|~y)&~(y^z))&t)) + 10248191137244783474*(((y|~(x|~z))&~t)|((y^~(x|(~y&z)))&t)) + 16397105843329308609*(((~(x&y)&~(y^z))&~t)|((y&(x|~z))&t)) + 10248191155637151720*((((x^y)|(x^z))&~t)|((x&z)&t)) + 12297829383430965628*(((~(x|~y)|(y^z))&~t)|((x|~y)&t)) + 2049638233541401212*((y&~t)|(((x&z)^(x^(y&z)))&t)) + 10248191139256434093*((~(y|z)&~t)|(((x^y)|~(x^z))&t)) + 12297829392914538991*((((x^y)&~(x^z))&~t)|((~x|(y|z))&t)), 49374 + 3735936685*x
13512660551191002463*(((y^(x&(y^z)))&~t)|(~(x|z)&t)) + 16820739278426357629*(((x|z)&~t)|(~(x|y)&t)) + 1906350448740585841*((~(x|(y|z))&~t)|(((y&z)^~(x&(y^z)))&t)) + 6616157450734773647*((~z&~t)|((x&(~y&z))&t)) + 16147909705645512907*(((z|(x&~y))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 5662982224496487697*((((x&y)^(x^(y&z)))&~t)|((z^(x&(~y|z)))&t)) + 16876808403887514766*((~(x&z)&~t)|((z&(x^y))&t)) + 14129420994774753363*((~(~x&(y|z))&~t)|((~z|(x^y))&t)) + 8410369641081122470*(((~(x&~y)&(x^(y^z)))&~t)|((y&~(x^z))&t)) + 10765273134606367690*((((y&~z)^(x|(y^z)))&~t)|((z^(~x|(~y&z)))&t)) + 8802853556668688027*(((y^~(~x&(y&z)))&~t)|(((x&z)|~(y|z))&t)) + 1906350452476522526*((((x^y)|(x^z))&~t)|((x|~z)&t)) + 4485530473997953089*(((z|~(x^y))&~t)|((x|(y^z))&t)) + 12727692720015970097*((((x&y)|~(y|z))&~t)|((y^(x&(y^z)))&t)) + 224276524260248658*(((z^(x|(~y|z)))&~t)|((y|~(x^z))&t)) + 8017885721757669602*(((~x|(y&z))&~t)|(~(x&~z)&t)), 49374 + 3735936685*x
8307143028486845146*((((x&~y)|(x^(y^z)))&~t)|((y^(~x|(y&z)))&t)) + 2931932831260423142*(((~x&(y^z))&~t)|(((x^y)&~(x^z))&t)) + 17713760867228687772*((((x^y)&(x^z))&~t)|(~(y|~z)&t)) + 17102941524936647829*((((x^y)|(x^z))&~t)|(((x&z)^(x^(~y&z)))&t)) + 18202416335191595935*((z|t)&~x) + 2443277359561578294*(((z^~(x&(y&z)))&~t)|(((x&z)^(y|z))&t)) + 6230357269497190204*((~(~x|(y|z))&~t)|(~(x^(~y&z))&t)) + 14659664164307666107*((((x&y)|~(y|~z))&~t)|((~x|(y^z))&t)) + 3298424436101960206*((~y&~t)|((y^~(x&z))&t)) + 10506092653800130845*(((y^(~x|(~y|z)))&~t)|(~(~x&(~y|z))&t)) + 10139601045222706470*((~(x|(y|z))&~t)|((y^(~x|(~y&z)))&t)) + 17591596997169169704*(((z^~(x&~y))&~t)|(~(~x&(y&z))&t)) + 12582878408520172075*(((~(x&y)&~(x^(y^z)))&~t)|(((x&~y)|~(y^z))&t)) + 8184979158961053479*(((x^y)&~t)|(~(x&~z)&t)) + 17225105394462439496*(((y^(~x&(~y|z)))&~t)|((~x|(y|z))&t)) + 12705042278046013116*((x&y)|t), 49374 + 3735936685*x
11068046450950397253*(((y|~(x|~z))&~t)|((y^~(x&(~y&z)))&t)) + 11068046421062953147*((~(x&(~y&z))&~t)|(~(y|~z)&t)) + 3689348876758419795*(((y^~(~x&(y|z)))&~t)|((y^(~x|(y|z)))&t)) + 18446744058765804876*((~(x&(~y&z))&~t)|((~(x&y)&(y^z))&t)) + 48567127531*(((z^(~x&(y|z)))&~t)|((~(x&~y)&~(x^(y^z)))&t)) + 7378697615287280993*((~(x^(y&z))&~t)|((z^(x&(~y|z)))&t)) + 14757395137176194235*(((y^~(~x&(y^z)))&~t)|(~(x&z)&t)) + 14757395305293196938*((~(x&~z)&~t)|((x^(y&z))&t)) + 7378697562984216777*(((z^(~x&(y|z)))&~t)|(~(~x|(~y&z))&t)) + 112078001802*(((z^~(x&(~y&z)))&~t)|(((x&y)|(x^(y^z)))&t)) + 18446743991518993920*(((~z|(x^y))&~t)|((x&z)&t)) + 7378697660118471839*((((y&z)^~(x&(y^z)))&~t)|((z^(~x&(~y|z)))&t)) + 3689348783360052044*(((z&~(x^y))&~t)|((y^(~x|(~y&z)))&t)) + 3689348850606863000*((~(~x|(y^z))&~t)|((~(x|~y)|(x^(y^z)))&t)) + 18446744062501741561*((((x&~y)|~(x^(y^z)))&~t)|(~(x&(y^z))&t)) + 14757395275405752832*((~(~x&(~y&z))&~t)|(~(~x&(y^z))&t)), 49374 + 3735936685*x
12496181474228165555*((((x&z)^(x^(~y&z)))&~t)|((x&~y)&t)) + 11901125210170483429*((((x^y)&(x^z))&~t)|(((x^y)&~(x^z))&t)) + 17256631560537934104*(((z^(x|(~y|z)))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 10711012682055217925*(((y^~(x&(y|z)))&~t)|(((x|~y)&(y^z))&t)) + 13686293994871623521*((((x&z)^~(y&~z))&~t)|((~x&(y&z))&t)) + 1190112516907521281*((~(x&~z)&~t)|(~(x|(y^z))&t)) + 5355506346631481074*((((x^y)&(x^z))&~t)|((z&~(x&y))&t)) + 14876406508043273949*(((x^z)&~t)|((y&~(x^z))&t)) + 18446744073709502242*(((z^~(x&(~y|z)))&~t)|(((x|y)&(x^(y^z)))&t)) + 10711012693262995064*(((z&(x|~y))&~t)|((y^~(x&z))&t)) + 13091237734549894538*(((z&~(x&~y))&~t)|((y^(~x&(y|z)))&t)) + 17256631556802030335*((~(x^z)&~t)|((y&(x|z))&t)) + 1785168780965137575*(((~x&(~y&z))&~t)|((y^~(x|(y&z)))&t)) + 10711012685791138152*((~(~x|(y^z))&~t)|((z^~(x|y))&t)) + 10115956429205345854*(((x&(y&z))&~t)|((y^(x&(y^z)))&t)) + 13686293983663879298*(((y^~(~x&(y&z)))&~t)|((x|(~y|z))&t)), 49374 + 3735936685*x
11945277781320661207*(((~z&(x^y))&~t)|(~z&t)) + 10700978015624189487*(((z|~(x^y))&~t)|(((y&z)^~(~x&(y^z)))&t)) + 3732899308297175841*((((y&~z)|~(x|(~y&z)))&~t)|(((x|y)&(y^z))&t)) + 14651629769282072807*(((~(x|y)|~(y^z))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 11945277785056597892*(((~(x^y)|~(x^z))&~t)|((y^(x|z))&t)) + 11198697917419654153*(((y|~(x|~z))&~t)|((y^(x|z))&t)) + 14433877320185428643*(((z&(x|y))&~t)|((y^(x|(~y|z)))&t)) + 17917916673848935466*(((y^(x&(y^z)))&~t)|((~(x&y)&~(x^(y^z)))&t)) + 13282900033740664635*((~(~x&(y|z))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 18384529088787058703*((~(x&(y|z))&~t)|(~(~x|(y^z))&t)) + 2799674463477182627*((~(x|z)&~t)|((x&z)&t)) + 186644973447112790*((~(x|y)&~t)|((z^(~x&(y|z)))&t)) + 9829968185614182666*(((z^~(x&y))&~t)|((x&(y|z))&t)) + 1213192275103193606*(((~(x|y)|~(y^z))&~t)|((y&~(x&~z))&t)) + 5506026470118277652*((~(~x&(y&z))&~t)|(~(x&~y)&t)) + 17420196768317534115*(((z^(x|(y|z)))&~t)|((y|(x^z))&t)), 49374 + 3735936685*x
