# 49374 + 3735936685*(x^y)
11045209123311650142*~y + 3735936685*(x^y) + 11045209123311650142*y + 11045209123311699516, 49374 + 3735936685*(x^y)
3735936685*(x^y) + 49374, 49374 + 3735936685*(x^y)
18446744073709502242*(x&~y) + 3735936685*~x + 18446744069973565557*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*(x^y)
3735936685*~(x&y) + 3735936685*(x|y) + 3735986059, 49374 + 3735936685*(x^y)
18446744073709502242*~(x&y) + 18446744069973565557*(x&y) + 3735936685*(x|y), 49374 + 3735936685*(x^y)
18446744066237727620*~(x^y) + 3735887311*(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x^y) + 18446744069973664305, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 3735936685*~(x|~y) + 49374, 49374 + 3735936685*(x^y)
3735887311*(x^y) + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 3735936685*~(x&y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 3735887311*~(x|~y) + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
7471823996*~x + 3735887311*(x|~y) + 7471823996*y + 18446744062501790935*~(x&~y), 49374 + 3735936685*(x^y)
7471873370*(x&~y) + 3735936685*~x + 3735936685*y + 3735986059, 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 18446744069973614931*~(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
3735936685*(x^y) + 18446744073709502242*~(x&y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 3735936685*~(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735887311*(x&~y) + 3735887311*~x + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
3735887311*~x + 18446744069973614931*~(x^y) + 3735887311*x, 49374 + 3735936685*(x^y)
3735887311*~y + 18446744069973614931*~(x^y) + 3735887311*y, 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 3735936685*(x&~y) + 3735936685*~x + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
7471823996*~(x|~y) + 3735887311*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 18446744066237727620*(x&y) + 3735887311*x + 3735887311*y, 49374 + 3735936685*(x^y)
3735887311*~(x|y) + 18446744069973614931*~(x^y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
14275785333383055460*(x^y) + 10104826585584735308*~(x^y) + 4170958744062383467*(x|~y) + 4170958744062383467*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973664305*(x&y) + 18446744073709502242*~(x^y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|~y) + 3735936685*~(x&y) + 3735936685*x + 18446744069973565557*(x|~y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x&y) + 18446744066237628872*(x&y) + 3735936685*x + 3735936685*y, 49374 + 3735936685*(x^y)
3735887311*~(x|~y) + 18446744069973614931*~(x^y) + 3735887311*(x|~y), 49374 + 3735936685*(x^y)
3735936685*~y + 3735936685*~(x|~y) + 3735936685*(x|y) + 3735986059, 49374 + 3735936685*(x^y)
18446744069973664305*~(x|y) + 3735887311*~y + 18446744069973614931*~(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
17268656061980177477*~(x|y) + 17268656061980177477*(x&y) + 1178088007993437454*~(x^y) + 18446744069973664305, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 18446744069973614931*~y + 3735887311*~(x&y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973614931*(x&y) + 3735936685*x + 49374, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 18446744073709502242*~(x|~y) + 3735936685*(x^y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 3735936685*~(x|~y) + 18446744073709502242*~x + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 18446744069973614931*(x&y) + 18446744069973664305, 49374 + 3735936685*(x^y)
3735887311*~(x&y) + 3735887311*(x&y) + 18446744069973614931*~(x^y), 49374 + 3735936685*(x^y)
18446744066237628872*~x + 7471873370*~(x&y) + 18446744069973565557*x + 3735936685*y, 49374 + 3735936685*(x^y)
18446744073709502242*(x&~y) + 18446744073709502242*~x + 18446744069973565557*(x&y) + 3735936685*(x|y), 49374 + 3735936685*(x^y)
13890515971845305401*~y + 3735936685*(x^y) + 13890515971845305401*y + 13890515971845354775, 49374 + 3735936685*(x^y)
5683933950436225462*~(x&y) + 5683933950436225462*(x&y) + 18446744069973614931*~(x^y) + 5683933946700338151, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735887311*(x^y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
14517739457238174449*~(x|y) + 14517739460974111134*(x^y) + 3929004616471377167*~(x&y) + 49374, 49374 + 3735936685*(x^y)
18446744073709502242*(x&~y) + 3735936685*(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735936685*(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~x + 7471823996*~(x&y) + 3735887311*(x&y) + 18446744069973614931*(x|~y), 49374 + 3735936685*(x^y)
49374*~y + 3735887311*(x^y) + 49374*x + 18446744073709452868*(x|~y), 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 18446744069973614931*(x|~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 7471823996*~(x|~y) + 3735887311*(x|~y) + 18446744069973614931*y, 49374 + 3735936685*(x^y)
18446744069973664305*~x + 3735887311*~(x&y) + 18446744069973614931*~(x^y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*(x&y) + 3735936685*(x|y) + 49374, 49374 + 3735936685*(x^y)
3735887311*~(x|y) + 7471823996*(x&~y) + 18446744069973614931*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|~y) + 3735936685*(x^y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735936685*~(x|~y) + 18446744069973614931*y + 3735887311*(x|y), 49374 + 3735936685*(x^y)
7471823996*~(x&y) + 7471823996*(x&y) + 18446744069973614931*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
6148914693727108746*~(x&y) + 12297829379982393496*~(x^y) + 12297829383718330181*x + 12297829383718330181*y, 49374 + 3735936685*(x^y)
49374*~(x|~y) + 18446744069973664305*(x&y) + 18446744073709502242*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
9191668793817441177*~(x|~y) + 3735887311*(x^y) + 9191668793817391803*~(x^y) + 9255075279892110439*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709502242*~x + 3735936685*(x^y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
18446744073709502242*~y + 3735936685*(x^y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
7471873370*~(x&y) + 3735936685*x + 3735936685*y + 7471922744, 49374 + 3735936685*(x^y)
7471873370*(x&~y) + 18446744073709502242*~y + 18446744069973614931*x + 3735887311*y, 49374 + 3735936685*(x^y)
3735936685*~x + 18446744069973614931*~(x&~y) + 3735936685*(x|y) + 49374, 49374 + 3735936685*(x^y)
18446744066237727620*~(x|y) + 7471823996*~x + 3735887311*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
7471823996*(x&~y) + 18446744069973614931*(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
18446744066237727620*~(x|y) + 3735887311*~y + 3735936685*~x + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735887311*~(x&y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
18446744073709502242*~x + 3735936685*~(x&y) + 3735887311*x + 18446744069973614931*(x|~y), 49374 + 3735936685*(x^y)
18446744069973664305*~y + 18446744069973614931*~x + 7471823996*~(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
18446744066237678246*~(x|y) + 3735936685*~x + 18446744069973614931*y + 18446744069973664305, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 18446744069973664305*(x&y) + 18446744073709502242*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
3735887311*~y + 3735936685*~x + 7471823996*y + 18446744066237678246*~(x&~y), 49374 + 3735936685*(x^y)
18446744066237678246*~(x|y) + 3735936685*~y + 3735936685*~x + 49374, 49374 + 3735936685*(x^y)
3735887311*~y + 7471873370*~(x|~y) + 18446744069973614931*~x + 18446744073709502242*y, 49374 + 3735936685*(x^y)
1989941976146513374*(x&~y) + 18446744069973614931*(x|~y) + 1989941972410576689*~(x&~y) + 1989941968674689378, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 18446744066237727620*(x&y) + 3735887311*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
18446744069973614931*(x&y) + 3735936685*y + 18446744069973614931*~(x&~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735936685*~(x&y) + 49374, 49374 + 3735936685*(x^y)
3735986059*~x + 18446744073709502242*~(x&y) + 18446744069973565557*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~x + 18446744069973614931*(x&y) + 18446744069973614931*(x|~y) + 18446744066237727620, 49374 + 3735936685*(x^y)
3735936685*(x^y) + 49374*x + 18446744073709502242*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
18446744066237678246*~(x|y) + 18446744069973614931*x + 18446744069973614931*y + 18446744066237727620, 49374 + 3735936685*(x^y)
18446744069973614931*(x|~y) + 18446744066237727620*y + 3735887311*~(x&~y) + 7471823996*(x|y), 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 3735887311*~(x|~y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 7471823996*~(x|~y) + 3735887311*x + 18446744069973614931*y, 49374 + 3735936685*(x^y)
