# 49374 + 3735936685*(x^y)
18446744066237678246*~(x|z) + 18446744069973614931*(z^~(~x&(~y&z))) + 14943697366*~(x|~y) + 18446744069973614931*~(x^(y^z)) + 18446744069973614931*~(~x|(y^z)) + 18446744069973614931*((x|~y)&(x^(y^z))) + 14943697366*(x|~y) + 18446744066237678246*(z|(x&y)), 49374 + 3735936685*(x^y)
3735986059*~(~x|(y|z)) + 18446744073709502242*(y^(~x|(~y|z))) + 18446744073709502242*(x^(y|z)) + 3735986059*((y&~z)^(~x|(y^z))) + 3735936685*y + 18446744069973614931*(y^~(x|(y&z))) + 18446744073709502242*(z^~(x|y)), 49374 + 3735936685*(x^y)
12070835039504756174*~(x|(y|z)) + 8882880526138319825*(~z&(x^y)) + 6375909034204795442*(y^~(~x|(~y&z))) + 12070835043240692859*(z&(x^y)) + 3187954517102373034*(~z|(x^y)) + 3187954517102373034*(~y|~(x^z)) + 15258789556607129208*(y|(x^z)), 49374 + 3735936685*(x^y)
7471922744*(z^~(~x&(~y|z))) + 18446744066237579498*(~y|(x^z)) + 18446744066237628872*(x^(y^z)) + 3735936685*(~y|~(x^z)) + 18446744066237579498*(y&~(x&~z)) + 3735986059*((x&y)^(x^(~y|z))) + 7471922744*(y^~(~x|(y&z))), 49374 + 3735936685*(x^y)
11368066128216711413*(~y&~(x^z)) + 7078677949228776888*((x^y)&~(x^z)) + 8578776369183629731*((x&y)^(y|~z)) + 14157355890985680406*(y^~(~x&(y&z))) + 1500098423690789528*((x&y)|~(y|~z)) + 2789289759033032308*(~(x^y)|~(x^z)) + 14157355890985680406*((x&z)^(x^(y&z))), 49374 + 3735936685*(x^y)
49374*(y^~(~x|(~y&z))) + 4864497100007171429*(z^(x&(~y|z))) + 3735887311*(~z|(x^y)) + 18446744073709502242*(y^~(x|(y^z))) + 4864497100007220803*(x&z) + 13582246977438218124*(z|(x&~y)) + 18446744069973664305*(x|(~y|z)), 49374 + 3735936685*(x^y)
1166347432590648962*((x^y)&~(x^z)) + 17280396641118902654*(z&~(x&y)) + 3735887311*(y^(x|(y^z))) + 17280396641118853280*~(x^y) + 1166347432590648962*(x^(~y&z)) + 17280396644854789965*~(x^(~y|z)) + 18446744069973664305*((y&~z)^(x|(y^z))) + 1166347432590648962*(z|~(x|y)), 49374 + 3735936685*(x^y)
7471873370*(y&~z) + 7029220323128722850*~(x|(~y&z)) + 7029220319392786165*~(~x&(y|z)) + 18446744069973614931*(y|~(x|~z)) + 3735986059*((x&~y)|~(y^z)) + 11417523750580779392*~(~x&(y^z)) + 7029220326864659535*(z|(x&~y)) + 11417523750580779392*(~x|(~y|z)), 49374 + 3735936685*(x^y)
18446744069973614931*(y&~z) + 18446744069973614931*((x&~y)|~(x^(y^z))) + 7471823996*(y^(x&(~y|z))) + 18446744069973614931*(z&~(x^y)) + 3735887311*(y^~(x&(~y|z))), 49374 + 3735936685*(x^y)
12297829379982426412*~(x|(y&z)) + 3735936685*(y^(x|(y|z))) + 6148914689991188519*((x|~y)&(y^z)) + 6148914686255301208*~(x^(y|z)) + 12297829383718313723*(x|(y^z)) + 6148914689991188519*(z^(x&~y)) + 12297829379982475786*(y|(x&z)) + 7471774622*(y|~(x^z)), 49374 + 3735936685*(x^y)
3735837937*~(x|y) + 18446744069973647847*(y^(~x|(y&z))) + 3735903769*~(x&(y|z)) + 16458*(y^(x|~z)) + 18446744073709535158*(z^~(x&y)) + 18446744073709535158*((x&z)^(x^(y&z))) + 18446744069973664305*((x&y)^(x^(~y|z))) + 3735870853*((y&z)|(x&(y|z))), 49374 + 3735936685*(x^y)
