# 49374 + 3735936685*(x^y)
9223372092893653274*((x&~z)|~t) + 12297829264168701879*(((~(x&~y)&~(y^z))&~t)|((~(x&y)&(x^(y^z)))&t)) + 3735936685*(((z^(x|(y&z)))&~t)|((~(x^y)&(x^z))&t)) + 15372286734317845926*((~(x&~y)&~t)|((z^(~x|(y&z)))&t)) + 3074457272145042856*((~(~x&(~y|z))&~t)|((x^(~y|z))&t)) + 12297829488324261117*(((~z&~(x^y))&~t)|((y^~(~x&(y&z)))&t)) + 78454423515*((~(x^(y|z))&~t)|((y^~(x|(y^z)))&t)) + 9223371992023659023*((((x&y)^~(x^(y&z)))&~t)|((x^(y^z))&t)) + 134493325668*(((y|(x&~z))&~t)|(((x&y)|~(y|~z))&t)) + 6148914551761959082*(((y^(x&(~y|z)))&~t)|((y^(~x|(~y&z)))&t)) + 18446744066237727620*((~(x|~y)&~t)|(((x|y)&~(y^z))&t)) + 15372286644655612356*((~(x&~x)&~t)|((~x|(y&z))&t)) + 3074457511244299460*(((y^(x|(~y&z)))&~t)|(~(x&(y^z))&t)) + 9223371943456630240*(((~(x^y)&(x^z))&~t)|(((x&y)^(x^(y&z)))&t)) + 18446744013934712778*(((x^(y|z))&~t)|(~(~x&(y^z))&t)) + 12297829432285358964*((((x&z)^(y|z))&~t)|(z&t)), 49374 + 3735936685*(x^y)
18446744013934560858*((x|y)^t) + 93398394337*((~(y|z)&~t)|((~y&(x^z))&t)) + 11394*(((~x&(~y|z))&~t)|((~(x&y)&(x^(y^z)))&t)) + 52303098398*(((y|~(x|z))&~t)|((y^~(~x&(~y&z)))&t)) + 70982781823*(((x|(y&z))&~t)|(((x|y)&(y^z))&t)) + 18446744010198627971*((((x&z)^~(x^(~y&z)))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 18446744002726754601*((~y&~t)|(((x&~y)|(y^z))&t)) + 70982781823*((((x|y)&(x^(y^z)))&~t)|((z^~(~x&(y&z)))&t)) + 18446744062501745359*(((y^(x&(y^z)))&~t)|((x^z)&t)) + 18446744040086140441*(((x|y)&~t)|(~(x^(~y&z))&t)) + 18446744040086121451*((((y&~z)|~(~x|(~y&z)))&~t)|((~y|(x^z))&t)) + 37359344062*(((~(x|~y)|(y^z))&~t)|((~x|(y^z))&t)) + 26151541603*(((y^(~x|(y|z)))&~t)|((y&~(x^z))&t)) + 18446744036350177170*(((y^~(x&(~y|z)))&~t)|((y&z)&t)) + 18446744040086110057*(((z^(x|(~y&z)))&~t)|((~(x|~y)|~(y^z))&t)) + 44831225028*(((z|~(x|~y))&~t)|(z&t)), 49374 + 3735936685*(x^y)
11386879057476414126*(((x|(y^z))&~t)|((z^(~x|(y&z)))&t)) + 6832127437474627448*(((z^~(~x|(y&z)))&~t)|((x&(y^z))&t)) + 8426290503728043230*(((y|~(x|z))&~t)|(((x|~y)&(y^z))&t)) + 12070091801223866996*(((~(x|y)|(x^(y^z)))&~t)|(~(y&z)&t)) + 6148914697463061889*(((x&(~y&z))&~t)|((y^~(~x|(~y&z)))&t)) + 15713893094983754077*((((x^y)&~(x^z))&~t)|(((x&z)^~(y&~z))&t)) + 1594163069989401841*((~(x^(y|z))&~t)|(((x&y)^(y|z))&t)) + 5693439532474168435*((((x&~y)|(x^(y^z)))&~t)|((y^~(x&z))&t)) + 10020453573717445071*(((~x&(y^z))&~t)|(((x&z)|(y&~z))&t)) + 7743077756244653675*(((~(x^y)|~(x^z))&~t)|((z^~(x&(~y|z)))&t)) + 5465701949979672334*((~(x&~x)&~t)|((y^~(x&(y&z)))&t)) + 455475157517020084*(((z^~(~x|(y&z)))&~t)|(((x&y)|(y^z))&t)) + 12525566962476873139*(((z&~(x^y))&~t)|((x|(y^z))&t)) + 4327014037507339951*(((x|~y)&~t)|(((x|y)&~(y^z))&t)) + 11842354222465356954*(((x&~z)&~t)|((~(x|~y)|(x^(y^z)))&t)) + 15713893102455627447*((~(x&~x)&~t)|(((x&y)|~(x^(y^z)))&t)), 49374 + 3735936685*(x^y)
8737931482774034552*(((y^(x|(y^z)))&~t)|((z^(x|(~y|z)))&t)) + 7767050045849630020*(((~y&(x^z))&~t)|((z^(x|(y|z)))&t)) + 2912643780269414342*(((z^(~x&(y|z)))&~t)|((z^~(x&(~y&z)))&t)) + 970881291222626947*(((z^~(~x&(y&z)))&~t)|(~y&t)) + 9708812676862208941*(((y^(~x&(y^z)))&~t)|(((x&z)^(x^(~y&z)))&t)) + 6796168922744351394*((((x&z)|(y&~z))&~t)|((y&~(x&z))&t)) + 15534100241136974310*(((y^(~x|(~y&z)))&~t)|((z&~(x&y))&t)) + 5825287556802842625*(((~x&(~y|z))&~t)|(((x^y)|(x^z))&t)) + 1941762548821823729*(((y^z)&~t)|((y^~(x|(y^z)))&t)) + 7767050094416856299*(((z^~(x&(y|z)))&~t)|((x^(~y&z))&t)) + 6796168825609898836*((~(x|(~y&z))&~t)|((y^~(x|z))&t)) + 11650575236891842725*((((x&z)^~(y&~z))&~t)|((z&(x|y))&t)) + 15534100218721255452*(((z|(x&y))&~t)|((z^~(x|y))&t)) + 9708812688070018996*((~(x^(~y&z))&~t)|((y^~(~x|(y&z)))&t)) + 4854406321619364701*((((x|y)&~(x^(y^z)))&~t)|((y^~(~x|(y&z)))&t)) + 15534100360687096352*(((y^~(x&(~y|z)))&~t)|((x|(y|z))&t)), 49374 + 3735936685*(x^y)
18446744062501642813*((~(x|~y)&~t)|(~(x|(y|z))&t)) + 12297829365038498634*(((x&y)&~t)|(~(x|z)&t)) + 12297829346358667087*(((~(x|y)|~(x^(y^z)))&~t)|((~z&(x^y))&t)) + 6148914633951578672*(((y^(x|z))&~t)|(((x&z)^~(x^(y&z)))&t)) + 18446744013934021542*(((y^~(x|(y^z)))&~t)|((~x&(y&z))&t)) + 6148914693727158120*(((z^(x&y))&~t)|(((x&y)^(y|~z))&t)) + 12297829368774435319*(((x&y)&~t)|((z^(x|(~y&z)))&t)) + 7471922744*(((~(x^y)|(x^z))&~t)|((z^~(~x&(~y|z)))&t)) + 12297829477117586664*(((y^~(~x&(y|z)))&~t)|((z&(x^y))&t)) + 12297829335150758284*(((~(x|~y)|(x^(y^z)))&~t)|((y^~(~x&(y&z)))&t)) + 6148914802070309465*(((y^~(x|~z))&~t)|((~x|(~y&z))&t)) + 12297829473381600605*((~(x|(~y&z))&~t)|(((x|y)&(x^(y^z)))&t)) + 12297829402398211102*(((y^~(x&(y|z)))&~t)|((y|~(x|z))&t)) + 12297829368774484693*(((x&~z)&~t)|((y^(~x&(y^z)))&t)) + 12297829402398161728*(((~x&(y&z))&~t)|((z&(x|y))&t)) + 6148914574176147346*((~(x|(~y&z))&~t)|((y^(x&(y^z)))&t)), 49374 + 3735936685*(x^y)
14796504976034274773*(((z^~(x&(~y|z)))&~t)|((x&~x)&t)) + 7561209586422327447*((((x|~y)&(x^(y^z)))&~t)|((z^(x|(~y|z)))&t)) + 3715421948245172797*(((y^(x&z))&~t)|((~y&(x^z))&t)) + 7039746841638146775*(((z|~(x|y))&~t)|(((y&z)^~(x&(y^z)))&t)) + 4627981736673791607*((((x&y)^(x^(y&z)))&~t)|((z^(x|y))&t)) + 6713832644827717280*((((y&~z)|~(~x|(~y&z)))&~t)|((z^(x&(y|z)))&t)) + 8995232089747633449*(((x^(~y|z))&~t)|((x^(y&z))&t)) + 11667728574575952323*(((y^~(~x&(y^z)))&~t)|((y^(x&z))&t)) + 2085850926833658472*(((y^(~x|(y|z)))&~t)|((y^(x&(~y|z)))&t)) + 7471873370*(~x|(~y&(~z|t))) + 3780604795079132066*(((~y|(x^z))&~t)|((z^~(~x|(~y&z)))&t)) + 7170112535306065313*(((y^~(x|(~y&z)))&~t)|((x^(~y&z))&t)) + 7626392425784413346*(((z|(x&y))&~t)|(~(x^(~y|z))&t)) + 18251195548151420549*(((y^~(x&(y|z)))&~t)|((y&z)&t)) + 1108108306514827133*(((~x&(y&z))&~t)|((~x|(y&z))&t)) + 2737679331662327517*((x&~z)|t), 49374 + 3735936685*(x^y)
7984411609198322790*((((x|y)&(y^z))&~t)|(~(y|z)&t)) + 7158437999477823669*(((z^~(x|(y&z)))&~t)|(((x|y)&(y^z))&t)) + 4680517151636791003*(((x&~x)&~t)|(((x&~y)|(y^z))&t)) + 1376622686603385846*(((z^(x&y))&~t)|((x^(~y|z))&t)) + 9636358854790729705*((~(~x|(~y|z))&~t)|((y^(x&z))&t)) + 4129868078489791589*(((z^(x|(~y&z)))&~t)|(((x|~y)&~(y^z))&t)) + 8810385226390645907*(((x^(y^z))&~t)|(((y&~z)|~(~x|(~y&z)))&t)) + 15418174156457406847*(((z^~(x|~y))&~t)|((y^~(x&z))&t)) + 4129868078489791589*(((z^~(~x|(~y&z)))&~t)|((y^~(x&(y|z)))&t)) + 11563630607069290969*(((z&(x|~y))&~t)|((z^(~x&(y|z)))&t)) + 12389604220525677401*(((~x&(~y|z))&~t)|((y^~(x&(y&z)))&t)) + 16244147777385666649*(((y^~(x&(y|z)))&~t)|((~y|~(x^z))&t)) + 14592200528057323049*(((y^~(x&(y|z)))&~t)|((y^(~x|(~y&z)))&t)) + 15968823233340342946*(((z^(~x|(y|z)))&~t)|((~(x^y)|~(x^z))&t)) + 7709087087568520449*(((y^~(~x&(y&z)))&~t)|((y^(~x&(y^z)))&t)) + 18171419522192354543*(((z^(x|(~y|z)))&~t)|((y|~(x|~z))&t)), 49374 + 3735936685*(x^y)
7847055942193529635*((~(y|~z)&~t)|(~(x|(y&z))&t)) + 9942343134760938781*((((x&z)^(x^(~y&z)))&~t)|((x&~y)&t)) + 16392540944840308341*(((z^(x&~y))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 7354047192759285923*(((y|~(x|z))&~t)|(~(~x|(y&z))&t)) + 82168127396282368*(((y^~(~x&(y&z)))&~t)|((~x&(~y|z))&t)) + 3245640942492672743*((((y&z)^~(x&(y^z)))&~t)|(~(x^(~y&z))&t)) + 12160882507215084859*((~(x&~z)&~t)|(((x|y)&~(x^(y^z)))&t)) + 7559467507514178593*(((y^~(x|(y&z)))&~t)|(~(x^(~y|z))&t)) + 16146036566387249800*(((~z|~(x^y))&~t)|((z^~(x&(y|z)))&t)) + 2834800316718774714*(((~(x|~y)|~(y^z))&~t)|(~(~x&(y|z))&t)) + 18282407826388712128*((((y&~z)|~(~x|(~y&z)))&~t)|((z^~(x&(~y|z)))&t)) + 15201103131216928247*(((~y|(x^z))&~t)|((y^(~x|(~y&z)))&t)) + 10805108446270914651*(((y^(x|(y&z)))&~t)|(((x&y)|(y^z))&t)) + 12201966570913250730*((((y&z)|(~x&(y|z)))&~t)|((~(x|y)|~(y^z))&t)) + 17748315009520415234*~((z^t)&~x) + 9901259067326836225*((~(x|(y&z))&~t)|((y|z)&t)), 49374 + 3735936685*(x^y)
10338883112883553460*((~(x&z)&~t)|((x&~z)&t)) + 9740316180917636162*((((x&y)|~(y^z))&~t)|(~(x|y)&t)) + 18392328896717795396*((((x|~y)&(x^(y^z)))&~t)|((z^~(~x&(~y&z)))&t)) + 15998061232364259865*(((y&z)&~t)|((y^~(~x&(~y&z)))&t)) + 2122191801810028923*(((z^(x|(~y|z)))&~t)|((z^(~x|(y&z)))&t)) + 4788535336178895058*((((x^y)&(x^z))&~t)|((y^(x|(y|z)))&t)) + 6040084343479549449*((~(x&y)&~t)|(((x^y)&(x^z))&t)) + 16324552279371297315*(((x&(~y|z))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 9087334101847159880*((~z&~t)|((y^~(x|(~y&z)))&t)) + 9304994791134748205*(((~(x&y)&(x^(y^z)))&~t)|((x&(~y|z))&t)) + 15181833622318366801*(((~(x|y)|~(y^z))&~t)|(((x&~y)|(x^(y^z)))&t)) + 7237218177524186809*(((x&(y|z))&~t)|((x|(y^z))&t)) + 9577070668621853431*(((z^(x&y))&~t)|(y&t)) + 2122191801809979549*(((z|(x^y))&~t)|((~(x|y)|~(y^z))&t)) + 14039114954057675606*(((y^(~x|(y|z)))&~t)|((x|y)&t)) + 7237218177524186809*(((y^~(x&(y|z)))&~t)|((x|y)&t)), 49374 + 3735936685*(x^y)
3398084425389185784*((((x|y)&(x^(y^z)))&~t)|(~(~x|(~y|z))&t)) + 17475862811981174649*(((y^z)&~t)|((y^~(x&(~y&z)))&t)) + 15048659625904745722*(((~x&(y^z))&~t)|((y^~(~x&(~y&z)))&t)) + 4126245387563187077*((((x&z)^(x^(y&z)))&~t)|(~(y|~z)&t)) + 3735936685*(((z^(~x&(y|z)))&~t)|((z^(x&(~y|z)))&t)) + 10679693935051246286*(((z&(x|y))&~t)|(~(x&(y|z))&t)) + 13835058064621993081*((((x^y)|~(x^z))&~t)|(~(x^(y^z))&t)) + 9466092358824746905*(((y^(~x&(~y|z)))&~t)|((~y|(x^z))&t)) + 4854406349737188370*(((x^z)&~t)|(~(~x|(y^z))&t)) + 3398084425389185784*((((x&y)|~(y^z))&~t)|(((x|~y)&(x^(y^z)))&t)) + 7281609509662060502*(((z^(~x|(y&z)))&~t)|((y^(~x&(~y|z)))&t)) + 18446744062501741561*((~(x&(y&z))&~t)|((y^~(x|(y&z)))&t)) + 8495211085888559883*(((y^(~x|(y|z)))&~t)|((y|~(x|~z))&t)) + 15291379962818488246*(((z^(~x|(~y|z)))&~t)|((x|z)&t)) + 5582567278287808872*((((x|~y)&~(x^(y^z)))&~t)|((x|z)&t)) + 10436973620553123872*(((x|~z)&~t)|((x|(y|z))&t)), 49374 + 3735936685*(x^y)
2049638253658050038*((((y&~z)|~(~x|(~y&z)))&~t)|((x&~x)&t)) + 8198552887610056618*((((x|y)&(x^(y^z)))&~t)|(~(x|(~y|z))&t)) + 2049638234978317239*(((z&(x|~y))&~t)|((~z&~(x^y))&t)) + 16397105823787438263*(((x&(y^z))&~t)|((z^(x|(~y|z)))&t)) + 12297829387454283324*(((z^(x|(y|z)))&~t)|((x&(y^z))&t)) + 12297829383718346639*(((x^(~y|z))&~t)|((z^~(x&(~y&z)))&t)) + 14347467618696663878*((((y&z)^~(x&(y^z)))&~t)|(~(y|~z)&t)) + 18446744047557945447*(((~x&(y|z))&~t)|(((x|~y)&(y^z))&t)) + 16397105849939044432*((z|~t)^y) + 10248191174891635569*(((y^(x&(y|z)))&~t)|(((x&~y)|(y^z))&t)) + 18446744069973614931*(((y^(x|(~y|z)))&~t)|((x|(y^z))&t)) + 2049638231242380554*(((x|~y)&~t)|((y&(x|z))&t)) + 2049638238714253924*(((~x&(y|z))&~t)|((y|~z)&t)) + 2049638227506443869*((((x&y)^~(x^(y&z)))&~t)|((~(x|~y)|(x^(y^z)))&t)) + 4099276466220697793*((((y&z)|(~x&(y|z)))&~t)|(~(x&(y^z))&t)) + 8198552913761662787*((~(x^(y^z))&~t)|((z|(x&~y))&t)), 49374 + 3735936685*(x^y)
