# 3735936685*~x
4554857727453019050*~(x|y) + 4554857727453019050*~(x|~y) + 13891886349992469251*~x, 3735936685*~x
3735936685*~(x|y) + 18446744069973614931*~y + 3735936685*~(x&y), 3735936685*~x
3735936685*~(x|y) + 3735936685*~(x|~y), 3735936685*~x
7471873370*~(x|y) + 18446744069973614931*~y + 3735936685*(x^y), 3735936685*~x
3735936685*(x^y) + 3735936685*~(x&~y) + 18446744069973614931*(x|y), 3735936685*~x
18446744069973614931*x + 18446744069973614931, 3735936685*~x
3735936685*~(x|~y) + 18446744069973614931*y + 3735936685*~(x&~y), 3735936685*~x
18446744069973614931*(x&y) + 3735936685*~(x&~y), 3735936685*~x
18446744069973614931*~(x|y) + 3735936685*~(x&y) + 3735936685*~(x&~y) + 18446744069973614931*(x|y), 3735936685*~x
18446744066237678246*(x&~y) + 3735936685*~y + 3735936685*(x^y), 3735936685*~x
3735936685*~(x|~y) + 18446744069973614931*(x|y) + 18446744069973614931, 3735936685*~x
7920593514391967846*~x + 7920593510656031161*x + 7920593510656031161, 3735936685*~x
18446744069973614931*(x&~y) + 18446744069973614931*(x|~y) + 18446744069973614931*y + 18446744066237678246, 3735936685*~x
7471873370*~y + 18446744069973614931*(x|~y) + 7471873370*y + 18446744069973614931*(x|y), 3735936685*~x
16742931873818366609*~(x|y) + 16742931873818366609*~(x|~y) + 16742931870082429924*x + 16742931870082429924, 3735936685*~x
7786696342876881044*(x^y) + 7786696342876881044*~(x^y) + 18446744069973614931*x + 7786696339140944359, 3735936685*~x
18446744069973614931*~(x^y) + 18446744069973614931*y + 7471873370*~(x&~y), 3735936685*~x
18446744069973614931*~y + 7471873370*~(x&y) + 3735936685*(x&y) + 18446744069973614931*(x|y), 3735936685*~x
9444634506404974821*~(x|y) + 9002109574776450165*~(x|~y) + 9002109571040513480*~(x^y) + 9444634502669038136*y, 3735936685*~x
11926868954263362868*~(x|y) + 11926868950527426183*x + 6519875119446188748*(x|~y) + 18446744069973614931, 3735936685*~x
6148914693727141662*~(x&y) + 12297829383718346639*~(x^y) + 12297829379982409954*x + 12297829383718346639*y, 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*~y + 3735936685*~(x|~y), 3735936685*~x
3735936685*(x^y) + 3735936685*~(x^y) + 18446744069973614931*x, 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*~(x&y), 3735936685*~x
13024114052833170668*~(x|~y) + 2711315014174127159*~x + 15735429063271361142*~(x^y) + 2711315010438190474*y, 3735936685*~x
18446744066237678246*x + 3735936685*(x|~y) + 3735936685*(x|y), 3735936685*~x
3735936685*~y + 7471873370*~(x|~y) + 18446744069973614931*(x^y), 3735936685*~x
11789139217198592832*~(x|y) + 12552174468846191885*~x + 12552174465110255200*~(x^y) + 5894569608599296416*y, 3735936685*~x
