# 3735936685*~x
9925453257363832303*~(y|~z) + 7471873370*(y^(~x|(y|z))) + 18446744069973614931*~y + 4260645406304891314*(y^z) + 3735936685*(y^(x|(y^z))) + 9925453264835705673*(y^~(x|(y^z))) + 4260645406304891314*~(x^(y&z)) + 4260645402568954629*~(x^(y|z)), 3735936685*~x
3735936685*~(y|z) + 18446744069973614931*(z^(x|(~y|z))) + 3735936685*~(x&(~y|z)), 3735936685*~x
3735936685*~(x&y) + 3735936685*(~(x^y)&~(x^z)) + 18446744069973614931*(~y|~(x^z)) + 18446744069973614931*((x|y)&~(y^z)) + 3735936685*(~(x|~y)|(x^(y^z))), 3735936685*~x
18446744069973614931*~(x|(y|z)) + 3735936685*(z^(~x|(~y|z))) + 18446744069973614931*~(~x&(~y|z)) + 3735936685*(~x|(y|z)), 3735936685*~x
7471873370*~(x|y) + 18446744069973614931*((x|~y)&(y^z)) + 7471873370*(y^(x&z)) + 18446744069973614931*(~(x|~y)|~(x^(y^z))), 3735936685*~x
18446744062501741561*~(~x|(y|z)) + 3735936685*~(y|z) + 3735936685*(z^~(~x&(~y|z))) + 3735936685*(y^(x|~z)) + 18446744069973614931*~(x^(y^z)), 3735936685*~x
4176024578199502490*(y^(~x|(y|z))) + 3735936685*~(x|~y) + 10094694921046483321*((y&~z)^(~x|(y^z))) + 10094694921046483321*~(~x|(y^z)) + 4176024578199502490*(~(x|y)|~(y^z)) + 4176024574463565805*((x&y)^(x^(y&z))), 3735936685*~x
3735936685*~(x|(~y|z)) + 3735936685*~(x|y) + 18446744069973614931*(x|~z) + 3735936685*~(~x&(~y&z)), 3735936685*~x
18446744066237678246*((x&y)^~(x^(~y|z))) + 7471873370*((x&~y)|(y^z)) + 3735936685*~(x|~z) + 18446744069973614931*(z^(x&(~y|z))) + 18446744069973614931*((x&y)|~(y|~z)) + 3735936685*~(~x&(~y&z)), 3735936685*~x
6148914682519331607*~y + 6148914693727141662*(~(x|y)|(y^z)) + 12297829376246473269*~(~x&(~y|z)) + 6148914693727141662*(z&(x|~y)) + 12297829368774599899*(y&(x|z)) + 7471873370*(y|~z) + 6148914693727141662*((x&y)|~(x^(y^z))) + 7471873370*(x|z), 3735936685*~x
3735936685*(~x&(y^z)) + 18446744069973614931*(x&(y^z)) + 18446744069973614931*(y&~(x^z)) + 3735936685*(y|~(x^z)), 3735936685*~x
3735936685*~(x|(~y|z)) + 18446744069973614931*(~(x&y)&(y^z)) + 3735936685*(~(x|~y)|(y^z)) + 18446744069973614931*(y|(x&z)) + 3735936685*~(x&~z), 3735936685*~x
18446744055029868191*(~y&(x^z)) + 18446744062501741561*(~(x&y)&~(y^z)) + 18679683425*~(x&(y|z)) + 3735936685*(~(x|y)|~(x^(y^z))) + 14943746740*((x|~y)&(x^(y^z))) + 18446744069973614931*(y^(~x&(~y|z))) + 18446744069973614931*(~y|~(x^z)) + 18446744066237678246*((y&z)|(~x&(y|z))), 3735936685*~x
3735936685*(z^~(~x&(y|z))) + 18446744069973614931*(y^~(x|(~y&z))) + 3735936685*((x&z)|(y&~z)) + 3735936685*((x&z)^~(x^(~y&z))) + 18446744069973614931*(x|y), 3735936685*~x
18446744069973614931*~(~x|(y|z)) + 3735936685*~(x&(y|z)), 3735936685*~x
3735936685*(~x&(y^z)) + 18446744069973614931*(z^~(~x&(~y&z))) + 3735936685*(~(x&y)&~(y^z)) + 3735936685*(y^(x&(y|z))) + 3735936685*(y^~(x&z)) + 3735936685*(y^(~x&(~y|z))) + 18446744069973614931*((x&z)|~(y|z)) + 18446744069973614931*((y&z)|(~x&(y|z))), 3735936685*~x
3735936685*(~x&(~y&z)) + 3735936685*~(x^(~y&z)) + 3735936685*~(x^y) + 18446744069973614931*(y^(~x|(~y&z))), 3735936685*~x
3735936685*(~(x&y)&(y^z)) + 18446744069973614931*(z^(~x&(~y|z))) + 3735936685*(~(x&~y)&~(y^z)) + 18446744069973614931*(y|(x&z)) + 3735936685*(y|~(x^z)), 3735936685*~x
18446744069973614931*((x^y)&(x^z)) + 3735936685*(z^(x&(y|z))) + 1045935080524163891*~(x^(y^z)) + 2091870161048327782*(z&~(x^y)) + 17400808993185387725*~(x^y) + 18446744069973614931*((x&y)|~(y|~z)) + 17400808993185387725*z + 3735936685*(~x|(~y|z)), 3735936685*~x
18446744066237678246*~(x|(~y|z)) + 18446744069973614931*((x|~y)&(y^z)) + 7471873370*((x&y)^(y|z)) + 3735936685*(y^~(x|~z)) + 18446744069973614931*~(~x&(~y|z)) + 3735936685*(x|~z) + 18446744069973614931*z, 3735936685*~x
7471873370*~(x|(y|z)) + 18446744069973614931*((y&z)^~(~x&(y^z))) + 3735936685*((x^y)|(x^z)), 3735936685*~x
6148914689991204977*(~z&~(x^y)) + 6148914693727141662*(y^~(x&(~y&z))) + 12297829383718346639*((x&z)^(y|z)) + 12297829379982409954*((y&~z)^(x|(y^z))) + 6148914693727141662*~(x&~z), 3735936685*~x
3735936685*(~x&(y^z)) + 3735936685*(x&(~y&z)) + 18446744069973614931*((x^y)&~(x^z)) + 3735936685*~(x&(y|z)) + 3735936685*(y&(x|~z)) + 18446744069973614931*((x&y)|(x^(y^z))), 3735936685*~x
14943746740*(~x&(~y&z)) + 3735936685*~(x|(y^z)) + 18446744069973614931*(y^(x&z)) + 18446744069973614931*(z&(x|~y)) + 3735936685*(y|~z) + 18446744069973614931*(z^(x&~y)) + 18446744069973614931*(~x|(y&z)) + 7471873370*(y^(x&(y^z))), 3735936685*~x
14943746740*(z^(~x|(y|z))) + 18446744066237678246*(~(x&y)&(x^(y^z))) + 3735936685*(~(x&~y)&~(x^(y^z))) + 18446744069973614931*(~(x|~y)|~(y^z)) + 18446744066237678246*(y&(x|z)) + 22415620110*(z^(x&~y)) + 18446744062501741561*(~(x^y)|(x^z)), 3735936685*~x
14943746740*(y^~(x&(~y&z))) + 18446744066237678246*(~(x^y)&(x^z)) + 18446744066237678246*(y^~(~x&(y^z))) + 7471873370*(x&(y^z)) + 18446744062501741561*(x|~y) + 7471873370*(~(x^y)|~(x^z)) + 3735936685*(x|y), 3735936685*~x
18446744069973614931*((x&y)^~(x^(~y|z))) + 3735936685*(~(x&y)&(y^z)) + 18446744069973614931*(y^~(x&z)) + 3735936685*(~(x|~y)|~(y^z)) + 18446744069973614931*(y^(x&(y^z))) + 18446744069973614931, 3735936685*~x
11207810055*~(x|y) + 18446744066237678246*(y^~(x&~z)) + 18446744069973614931*((x|y)&(x^(y^z))) + 18446744069973614931*((x|y)&~(y^z)) + 7471873370*(x|y), 3735936685*~x
18446744062501741561*~z + 18446744051293931506*(x&(~y&z)) + 14943746740*(y^~(~x&(y^z))) + 18446744066237678246*(y^(x|(~y&z))) + 11207810055*(~(x|~y)|(y^z)) + 18446744069973614931*(y&(x|~z)) + 3735936685*x, 3735936685*~x
3735936685*~(x|(y|z)) + 18446744066237678246*(~(x^y)&(x^z)) + 18446744055029868191*(~y&~(x^z)) + 18446744069973614931*(x&~y) + 7471873370*(z^~(x&(~y&z))) + 11207810055*(y^(~x|(y|z))) + 18446744069973614931*(z^~(x&(y&z))) + 3735936685*((x&y)|~(x^(y^z))), 3735936685*~x
3735936685*~(x|(~y|z)) + 18446744069973614931*((x&y)^~(x^(~y|z))) + 3735936685*~y + 3735936685*(y&~(x&z)), 3735936685*~x
11207810055*((x&y)^(y|~z)) + 18446744069973614931*~(x&z) + 3735936685*(x|(~y&z)) + 18446744069973614931*((x|y)&~(y^z)) + 3735936685*(y&~(x&~z)) + 18446744066237678246*((x^y)|~(x^z)) + 3735936685*(z|~(x|y)), 3735936685*~x
18446744069973614931*(y^(~x|(y&z))) + 18446744069973614931*(x&(~y&z)) + 18446744055029868191*(y^~(~x&(~y|z))) + 11207810055*(y^(x&(~y|z))) + 18446744055029868191*(y^~(x|(~y&z))) + 7471873370*(y^~(x&z)) + 18679683425*((x&y)|~(x^(y^z))) + 18446744066237678246*(y|(x&z)), 3735936685*~x
121193119135240231*(~y&~(x^z)) + 18446744069973614931*((x&y)^(y|~z)) + 18325550962046184755*((y&~z)|~(x|(~y&z))) + 121193119135240231*(~x&(y|z)) + 3735936685*(x^(y|z)) + 18446744069973614931*(~(x|~y)|(y^z)) + 121193115399303546*((x&y)|~(y^z)) + 18325550958310248070*~(y&~z), 3735936685*~x
6148914693727141662*((y&~z)|~(x|(~y&z))) + 6148914693727141662*~(x&(y|z)) + 6148914689991204977*(~x|(y^z)) + 18446744069973614931*((x&y)|~(y|z)) + 6148914693727141662*~(x^y) + 12297829383718346639*((x&z)|~(y|z)), 3735936685*~x
3735936685*(z^(x|~y)) + 11207810055*(~x&(~y|z)) + 3735936685*((x&z)^(y|z)) + 3735936685*((x|y)&~(x^(y^z))) + 18446744062501741561*(~y|(x^z)) + 7471873370*(x&(~y|z)) + 18446744066237678246*(y&z), 3735936685*~x
17888039433441760820*(x&(y^z)) + 3735936685*((y&~z)|~(x|(~y&z))) + 17888039433441760820*~(y^z) + 558704636531854111*~(~x&(y^z)) + 3735936685*~(y&~z), 3735936685*~x
13687878642404459400*(y^(~x|(y&z))) + 9517730862610184432*(z^~(x&~y)) + 8929013211099367184*(z^~(x&(~y&z))) + 3735936685*(~x&(y|z)) + 4758865431305092216*~(x&z) + 4758865427569155531*(x^(~y&z)) + 3735936685*(y^~(x&(y|z))) + 13687878642404459400*(y|~(x|~z)), 3735936685*~x
3537118542254184589*(z^(~x|(~y|z))) + 14909625531455367027*~z + 14909625535191303712*~x + 3537118542254184589*~(x&(~y|z)), 3735936685*~x
11207810055*~(y|z) + 18446744069973614931*(y^(x|(y|z))) + 18446744066237678246*((x&~y)|~(x^(y^z))) + 11207810055*(z^(x&y)) + 3735936685*(z^~(x&y)) + 18446744069973614931*(y^~(x&(y|z))), 3735936685*~x
6148914678783394922*((x|y)&(y^z)) + 12297829383718346639*(z^~(~x&(y&z))) + 6148914701199015032*(~(x|~y)|(y^z)) + 7471873370*~(~x&(y&z)) + 6148914697463078347*(y&~(x&~z)) + 6148914682519331607*(y|(x^z)) + 18446744066237678246*(z|~(x|y)) + 6148914693727141662*(z|~(x^y)), 3735936685*~x
18446744055029868191*(~(x&~y)&(y^z)) + 18446744062501741561*(z^~(x&~y)) + 7471873370*~(y|~z) + 14943746740*~(x&z) + 3735936685*(y^(x&(y|z))) + 14943746740*(~(x^y)|~(x^z)) + 18446744058765804876*~(y&~z), 3735936685*~x
18446744069973614931*~(~x|(~y|z)) + 3735936685*(y&~z) + 3735936685*(~x&(~y|z)), 3735936685*~x
14943746740*~(x|(y|z)) + 3735936685*(~(x|y)|(y^z)) + 11207810055*(y^~(~x&(y|z))) + 18446744058765804876*(~(x|~y)|~(x^(y^z))) + 18446744066237678246*(z^~(x&y)) + 18446744069973614931*~(y^z) + 11207810055*y, 3735936685*~x
2988749348*((x|~y)&~(x^(y^z))) + 18446744072215176942*((x&y)^(y|~z)) + 1494374674*(y&~(x&z)) + 18446744072962364279*((x&y)|(x^(y^z))) + 18446744072215176942*(x&(~y|z)) + 18446744072215176942*(~(x^y)|~(x^z)) + 18446744071467989605*((x&y)|~(y^z)) + 5977498696*~(x&(y^z)), 3735936685*~x
18446744058765804876*~(x|(~y|z)) + 14943746740*((x^y)&(x^z)) + 18446744055029868191*(x^(y&z)) + 22415620110*(y^(x&z)) + 18446744069973614931*(z&~(x&y)) + 11207810055*(y^~(x&z)) + 18446744066237678246*~(y^z) + 18446744069973614931*(y|~(x|~z)), 3735936685*~x
18446744069973614931*(~(x&y)&(y^z)) + 18446744069973614931*~(x|~z) + 16833492105395032224*~(x^(~y&z)) + 1613251972050456077*(~x|(~y&z)) + 18446744069973614931*((y&~z)^(x|(y^z))) + 1613251960842646022*(y^~(~x|(y&z))) + 16833492116602842279*(z|(x^y)), 3735936685*~x
