# 3735936685*~x
16689911286994657724*((((x^y)&~(x^z))&~t)|((y^~(x&(y^z)))&t)) + 15811494930996577628*((((x&y)^(y|~z))&~t)|((~(x&~y)&(y^z))&t)) + 14933078530167257312*(((y^(~x|(y&z)))&~t)|(((x^y)&~(x^z))&t)) + 13176245769603920215*(((z^(x|y))&~t)|(~(~x|(y&z))&t)) + 18446744062501741561*(((z^(x|(~y|z)))&~t)|((z^~(x&(~y&z)))&t)) + 4392081940635677935*(((y^(~x|(y|z)))&~t)|((z^~(x&(~y&z)))&t)) + 14933078530167257312*((~(x|~z)&~t)|((y^(x|(~y|z)))&t)) + 4392081940635677935*((((x|y)&(y^z))&~t)|(~(y&z)&t)) + 10540996623155009542*(((x^(~y&z))&~t)|((~(x&y)&~(y^z))&t)) + 6148914697463078347*(((y^(x|(y|z)))&~t)|(~(x|~z)&t)) + 9662580211117879171*(((y^(x|(~y|z)))&~t)|(((x^y)|(x^z))&t)) + 7905747454290478759*((y&~z)|x) + 4392081918220057825*((((x&~y)|~(x^(y^z)))&~t)|(~(y^z)&t)) + 14054662140545747051*(((x|z)&~t)|(~(x&~y)&t)) + 6148914704934951717*(((y^~(~x&(y|z)))&~t)|((y|(x^z))&t)) + 4392081929427867880*(((x^(~y&z))&~t)|((z|~(x|y))&t)), 3735936685*~x
3689348821018283954*(((y^~(~x&(y^z)))&~t)|(~(x|(y|z))&t)) + 14757395254185642336*((~(~x|(y^z))&~t)|(~(x|(~y|z))&t)) + 7378697618126573124*(((x^(~y&z))&~t)|(((x^y)&~(x^z))&t)) + 11954997392*((~y&~t)|(((x&z)^(x^(~y&z)))&t)) + 7378697615885011113*(((x^y)&~t)|((z&(x^y))&t)) + 5977498696*((~(x&~z)&~t)|((z^(x&y))&t)) + 11068046439144857078*((~(x|(y&z))&~t)|((z^~(~x|(~y&z)))&t)) + 1494374674*(((y^~(x&z))&~t)|((~y|(x^z))&t)) + 747187337*(((x|(~y|z))&~t)|((~(x^y)&~(x^z))&t)) + 3689348794119539822*(((x&(~y&z))&~t)|((x&y)&t)) + 11068046442880793763*(((y|~(x|z))&~t)|(~(x^(~y|z))&t)) + 11068046466790788547*(((y&~(x&z))&~t)|((z^~(x&(~y|z)))&t)) + 11068046427937047023*(((~(x&~y)&~(x^(y^z)))&~t)|(~(~x&(y&z))&t)) + 7378697655485939974*(((x&(~y|z))&~t)|((y^(x&~z))&t)) + 14757395242230644944*((~(x^(~y|z))&~t)|((~(x|~y)|~(y^z))&t)) + 14757395264646265054*(((y&~(x&z))&~t)|(~(x&~z)&t)), 3735936685*~x
11936128515645519268*((~(x|y)&~t)|((z^~(~x&(~y&z)))&t)) + 7595718154810641091*(((~(x^y)&~(x^z))&~t)|(((x&z)^~(x^(y&z)))&t)) + 14106333709138736754*((~(y|~z)&~t)|((~(x&y)&~(y^z))&t)) + 15191436298413472127*((((x&y)|(y^z))&~t)|(~(x&(~y|z))&t)) + 10851025922634847210*(((y^~(~x&(y|z)))&~t)|(~(x^(y^z))&t)) + 6510615554328095663*(((z|(x&y))&~t)|(((x&~y)|~(x^(y^z)))&t)) + 14106333709138736754*(((y^(x|(y^z)))&~t)|((x&(y&z))&t)) + 13021231116128064696*((~(x&(~y|z))&~t)|((~(x^y)&~(x^z))&t)) + 10851025918898910525*(((x&(y|z))&~t)|(((x|~y)&~(y^z))&t)) + 11936128515645519268*(((y^(x|(y|z)))&~t)|((~z|~(x^y))&t)) + 5425512953845550235*((~(x&(~y|z))&~t)|((z^~(x|~y))&t)) + 9765923340831985207*((((y&~z)|~(x|(~y&z)))&~t)|((x|(y^z))&t)) + 11936128519381455953*(((x&(y^z))&~t)|(~(x&(~y&z))&t)) + 1085102593010672058*(((z^~(x&(~y|z)))&~t)|(((x&~y)|~(y^z))&t)) + 14106333701666863384*(((z^~(x|y))&~t)|(~(~x&(y^z))&t)), 3735936685*~x
18446743890648654051*((~(~x&(~y&z))&~t)|((~z&~(x^y))&t)) + 156909340770*((~(x^(y&z))&~t)|(((x&y)^~(x^(y&z)))&t)) + 18446744047557994821*((x&~t)|(~(x|(~y&z))&t)) + 18446743969103324436*(((y&~(x&z))&~t)|((x^(y|z))&t)) + 246571821210*(((~(x|y)|(y^z))&~t)|((x^z)&t)) + 149437467400*(((y^(x&z))&~t)|((z&(x^y))&t)) + 18446743920536147531*(((z^~(x&(y&z)))&~t)|((z&~(x&y))&t)) + 18446743965367387751*(((~(x&~y)&(y^z))&~t)|((~y|(x^z))&t)) + 26151556795*(((x|z)&~t)|((y^~(x&(y|z)))&t)) + 325026491595*(((~(x&y)&~(y^z))&~t)|((z^(~x&(y|z)))&t)) + 18446743722531503226*(((x&~y)&~t)|(((y&~z)^(x|(y^z)))&t)) + 18446743935479894271*(((x^(~y&z))&~t)|(y&t)) + 18446743393769074946*(((y^(~x|(y|z)))&~t)|((z^~(x|y))&t)) + 526767072585*(((x&z)&~t)|((z^~(x|y))&t)) + 500615515790*(((y^(~x|(~y|z)))&~t)|(~(y&~z)&t)) + 18446743864497097256*((((x&y)|~(x^(y^z)))&~t)|((~x|(~y|z))&t)), 3735936685*~x
26151556795*(((x|(y&z))&~t)|((~z&(x^y))&t)) + 18446744010198627971*(((x|(~y&z))&~t)|((z^(~x|(~y|z)))&t)) + 67246860330*(((y^(x&(y^z)))&~t)|((y^~(~x&(~y&z)))&t)) + 18446744036350184766*~((x&~t)^y) + 18446744028878311396*(((y&(x|~z))&~t)|((~x&(~y|z))&t)) + 18446743924272084216*((y|~t)^x) + 18446743965367387751*(((~(x&y)&~(x^(y^z)))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 190532770935*(((~(x|y)|~(x^(y^z)))&~t)|((y^~(~x&(y&z)))&t)) + 59774986960*(((~x&(y^z))&~t)|(((x&y)^(y|z))&t)) + 18446744021406438026*((((x&z)^(x^(~y&z)))&~t)|(((x|~y)&(x^(y^z)))&t)) + 18679683425*(((~x|(y^z))&~t)|((~(x&~y)&(x^(y^z)))&t)) + 18446744051293931506*((((x^y)|~(x^z))&~t)|((z&(x|~y))&t)) + 18446744055029868191*(((z&(x^y))&~t)|(((x|y)&~(y^z))&t)) + 74718733700*(((z^~(x&y))&~t)|((y^(x&~z))&t)) + 18446744036350184766*((((y&z)|(x&(y|z)))&~t)|((x|z)&t)) + 37359366850*(((~(x|y)|~(y^z))&~t)|((y|z)&t)), 3735936685*~x
14054662155489493791*(((~(x&y)&~(y^z))&~t)|(~(x|(y|z))&t)) + 17568327691559914725*((((x&~y)|(y^z))&~t)|((x&~z)&t)) + 7905747461762352129*((~(x&(~y|z))&~t)|(~(y|~z)&t)) + 10540996611947199487*(((x|y)&~t)|(((x&~y)|(y^z))&t)) + 3513665536070420934*(((x^(~y&z))&~t)|((x^z)&t)) + 1756832771771147152*((~(x|(~y|z))&~t)|(((x|y)&~(x^(y^z)))&t)) + 12297829379982409954*(((y^(x&(~y|z)))&~t)|((y^(x|(y^z)))&t)) + 8784163847647925705*(((z&(x|~y))&~t)|((y^(x|(~y&z)))&t)) + 18446744069973614931*(((y^~(~x&(y^z)))&~t)|((x&(y&z))&t)) + 3513665539806357619*(((~(x&y)&(x^(y^z)))&~t)|((~(x&~y)&(x^(y^z)))&t)) + 3735936685*(((y^~(x|(y^z)))&~t)|((~(x|y)|(x^(y^z)))&t)) + 8784163843911989020*(((z^~(x&(~y&z)))&~t)|(~(x^y)&t)) + 14054662148017620421*(((~(x|y)|(x^(y^z)))&~t)|(~(x^z)&t)) + 15811494923524704258*(((y^(x|(~y|z)))&~t)|((y&z)&t)) + 10540996615683136172*(((z^(x|~y))&~t)|((y&(x|z))&t)) + 2635249150184847358*(((y^(~x|(y&z)))&~t)|(((x&z)^(x^(y&z)))&t)), 3735936685*~x
288681441388385385*(((y&(x|z))&~t)|((x&~z)&t)) + 5975705825905361083*(((z|(x^y))&~t)|((x&~z)&t)) + 9872905282780595438*(((y^~(~x&(~y&z)))&~t)|((z^(~x|(y&z)))&t)) + 11864807223503736904*((((y&~z)^(~x|(y^z)))&~t)|((z^(x|(~y&z)))&t)) + 16079556259555102818*(((y^(~x|(~y&z)))&~t)|((x^(y|z))&t)) + 4474562335916068440*(((y|(x^z))&~t)|((y^(x&(~y|z)))&t)) + 14001049883053102720*(((y^(~x|(~y&z)))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 10796685886257180626*(((x^(y^z))&~t)|((~x|(y^z))&t)) + 9468751264089668562*(((z^~(x&(y&z)))&~t)|((y^~(x|(~y&z)))&t)) + 14722753484656097840*(((z^(~x|(y|z)))&~t)|(((x&z)|~(y|z))&t)) + 692835456343375576*(((y^~(x&(~y|z)))&~t)|(~(x^(~y|z))&t)) + 13885577305750561229*(((z^~(x|(~y&z)))&~t)|(~(~x&(~y|z))&t)) + 14751621626179780699*((~(~x&(y^z))&~t)|((y&(x|z))&t)) + 14924830497737497963*(((~(x&~y)&(x^(y^z)))&~t)|((y^~(x|(y&z)))&t)) + 5802496961819517189*(((z^(~x&(~y|z)))&~t)|((x|(y&z))&t)) + 17984853771971259022*(((~x|(y&z))&~t)|((z|~(x|~y))&t)), 3735936685*~x
1139567201594502919*(((y^~(x|(y&z)))&~t)|((z^(x|(y&z)))&t)) + 2136688504390669230*(((~x&(~y|z))&~t)|((x&~y)&t)) + 14030921166129876548*(((y^(~x|(y&z)))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 15953940822323040866*(((y^~(x&(~y|z)))&~t)|((y^(x|(~y|z)))&t)) + 641006548328451421*(((y^(x|(y&z)))&~t)|(((x&y)^(y|~z))&t)) + 12535239217539532109*(((z|(x&~y))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 7478409757895468935*(((y^(~x|(~y&z)))&~t)|((z^~(x&(y&z)))&t)) + 925898353396998007*((~(x|(y^z))&~t)|((~(x|y)|(x^(y^z)))&t)) + 7905747461762352129*((~(~x&(~y&z))&~t)|((~(x|y)|(x^(y^z)))&t)) + 1994242598120459252*((~(y^z)&~t)|((x&z)&t)) + 16594947374387428972*((((x&z)|(y&~z))&~t)|(~(x^(~y|z))&t)) + 15170488363988442782*(((x&z)&~t)|(((y&~z)^(x|(y^z)))&t)) + 8190639259359025345*(((y&(x^z))&~t)|((~(x|~y)|~(y^z))&t)) + 1709350804259722721*(((z^(~x&(~y|z)))&~t)|((y^~(x|(y&z)))&t)) + 11751786766676807395*((~(x^(~y|z))&~t)|((z&(x|y))&t)) + 2065465554991500926*((((x&z)^~(y&~z))&~t)|((y^~(~x|(y&z)))&t)), 3735936685*~x
16397105834995297692*((((x|y)&~(y^z))&~t)|(~(x|(y&z))&t)) + 16397105872354664542*(((z^~(x|(y&z)))&~t)|((~(x&y)&(x^(y^z)))&t)) + 16397105834995297692*(((y^(~x|(y^z)))&~t)|((y^(~x|(y&z)))&t)) + 2049638249922063979*(((x|(~y|z))&~t)|(~(~x|(y&z))&t)) + 12297829376246473269*((~(x&(~y&z))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 14347467585073233713*((~(x&~z)&~t)|((y^(x|(y|z)))&t)) + 10248191163683776140*(((~(x&~y)&(y^z))&~t)|(~(x|~z)&t)) + 6148914686255268292*((y|~t)^x) + 10248191145004092715*((~(x&(y&z))&~t)|((x^(~y&z))&t)) + 14347467607488853823*((((x&y)^~(x^(~y|z)))&~t)|((x&(~y|z))&t)) + 4099276458748824423*(((z^(x|~y))&~t)|((x&(~y|z))&t)) + 10248191167419712825*((~(~x|(y|z))&~t)|((y^~(x&(y&z)))&t)) + 6148914708670888402*((~(x&~y)&~t)|((x|~y)&t)) + 8198552906289838791*((((x&y)|~(y^z))&~t)|((x|(y^z))&t)) + 6148914678783394922*(((y&~z)&~t)|((~(x|y)|~(y^z))&t)) + 14347467622432600563*((~(x&(y|z))&~t)|((z|~(x|~y))&t)), 3735936685*~x
747187337*((((x&y)|~(y^z))&~t)|(~(~x|(~y|z))&t)) + 1494374674*((~(x&(y&z))&~t)|((y^(x|(y|z)))&t)) + 747187337*(((~x|(~y&z))&~t)|((~x&(y&z))&t)) + 18446744070720802268*((~(~x&(~y|z))&~t)|((y^~(~x|(y^z)))&t)) + 1494374674*(((y&(x^z))&~t)|(~(x&z)&t)) + 18446744072962364279*((y&~t)|((~z|(x^y))&t)) + 1494374674*((~(x^(y&z))&~t)|((z^(~x|(~y&z)))&t)) + 18446744066984865583*((~(x|y)&~t)|((x&(~y|z))&t)) + 18446744072215176942*((~(x|(~y&z))&~t)|((y&~(x&~z))&t)) + 18446744072962364279*(((y^(x|z))&~t)|((z&~(x&~y))&t)) + 1494374674*((~(y&~z)&~t)|((~(x^y)|(x^z))&t)) + 5977498696*((~(x|(y&z))&~t)|((y^~(~x|(y&z)))&t)), 3735936685*~x
5825287603797094904*(((~y&(x^z))&~t)|((~(x&~y)&(y^z))&t)) + 16504981541601144438*(((z^(~x&(~y|z)))&~t)|(((x|y)&(y^z))&t)) + 15534100279282877534*(~x&(y^(z^t))) + 13592337732230723616*(((y|~(x|z))&~t)|((y^~(~x|(~y&z)))&t)) + 1941762532108407178*(((x&~y)&~t)|((~x&(~y|z))&t)) + 7767050135905502082*(((y^~(x&(~y&z)))&~t)|((~z|(x^y))&t)) + 13592337743438533671*(((y&z)&~t)|((y^(x|(~y&z)))&t)) + 4854406334006954630*((~(x^(y&z))&~t)|((z&~(x^y))&t)) + 3883525071688687726*((~(~x&(y&z))&~t)|((y^~(x&(~y|z)))&t)) + 1941762532108407178*(((y^(x|(y^z)))&~t)|(~(~x&(y|z))&t)) + 16504981541601144438*(((y^~(x|(y&z)))&~t)|((x|~z)&t)) + 7767050132169565397*(((z&(x|~y))&~t)|((y^(~x|(~y&z)))&t)) + 17475862807655348027*((((x&y)^(y|z))&~t)|((x|(~y&z))&t)) + 5825287603797094904*((~(x^(y^z))&~t)|(((x|y)&~(y^z))&t)) + 4854406337742891315*((((x&y)|~(y^z))&~t)|(((x|y)&~(y^z))&t)) + 10679693934068112849*(((x^(~y&z))&~t)|(((x&y)^(x^(y&z)))&t)), 3735936685*~x
